date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-03-16,13:40:00,13:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-16 669P,0,669,P,3,1.23,1.23,1.6,368.1,73.62,0.2,TP1_THEN_RUNNER_BE_STOP,669.07,level_rejection|ribbon_flip,-0.5494,0.2417,HIGH,24.17,MIDDAY,15,3,0.94,1.6
2026-03-18,14:30:00,14:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 665P,0,665,P,3,1.0,0.5,,301.08,-150.54,-0.5,EXIT_ALL_PREMIUM_STOP,665.33,level_rejection|confluence,-0.5638,0.2378,HIGH,23.78,AFTERNOON,5,1,0.35,1.06
2026-03-18,15:40:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 662P,0,662,P,3,0.39,0.39,0.51,117.02,23.4,0.2,TP1_THEN_RUNNER_BE_STOP,662.29,level_rejection|confluence,-0.4933,0.2444,HIGH,24.44,POWER_HOUR,10,2,0.13,0.57
2026-03-20,09:45:00,14:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 656P,0,656,P,3,1.96,7.83,2.54,587.03,704.44,1.2,TP1_THEN_RUNNER_TARGET,656.25,level_rejection|ribbon_flip,-0.5372,0.2488,HIGH,24.88,OPEN_DRIVE,290,58,1.96,7.84
2026-03-23,13:20:00,13:25:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-23 655P,0,655,P,3,1.3,1.03,,389.36,-80.73,-0.2073,EXIT_ALL_LEVEL_STOP,655.0,level_rejection|ribbon_flip,-0.5275,0.2609,HIGH,26.09,MIDDAY,5,1,0.88,1.33
2026-03-24,09:35:00,09:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-24 651P,0,651,P,3,1.76,1.76,2.29,529.01,105.8,0.2,TP1_THEN_RUNNER_BE_STOP,652.0,level_rejection|ribbon_flip,-0.4721,0.273,HIGH,27.3,OPEN_DRIVE,10,2,1.62,2.53
2026-03-24,11:00:00,11:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-24 655P,0,655,P,3,1.68,1.25,,503.86,-129.87,-0.2578,EXIT_ALL_RIBBON_FLIP_BACK,655.37,level_rejection|confluence,-0.5045,0.2643,HIGH,26.43,MORNING,15,3,1.17,1.89
2026-03-24,13:10:00,13:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-24 653P,0,653,P,3,1.3,1.2,,388.95,-29.53,-0.0759,EXIT_ALL_LEVEL_STOP,653.0,level_rejection|ribbon_flip,-0.5055,0.2713,HIGH,27.13,MIDDAY,10,2,1.04,1.45
2026-03-26,10:40:00,11:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-26 653P,0,653,P,3,1.89,1.89,2.45,565.6,113.12,0.2,TP1_THEN_RUNNER_BE_STOP,653.18,level_rejection|confluence,-0.5287,0.2675,HIGH,26.75,MORNING,20,4,1.62,2.99
2026-03-27,09:35:00,09:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-27 641P,0,641,P,3,2.07,2.0,,622.35,-22.63,-0.0364,EXIT_ALL_LEVEL_STOP,641.0,level_rejection|confluence,-0.4989,0.2994,HIGH,29.94,OPEN_DRIVE,5,1,1.77,2.26
2026-03-27,09:50:00,10:10:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-27 640P,0,640,P,3,2.01,2.01,2.61,602.25,120.45,0.2,TP1_THEN_RUNNER_BE_STOP,641.0,level_rejection|confluence,-0.4962,0.2985,HIGH,29.85,OPEN_DRIVE,20,4,1.97,2.79
2026-03-27,11:05:00,11:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-27 640P,0,640,P,3,1.69,1.69,2.19,506.01,101.2,0.2,TP1_THEN_RUNNER_BE_STOP,641.0,level_rejection|confluence,-0.4821,0.2939,HIGH,29.39,MORNING,15,3,1.08,2.3
2026-03-27,11:40:00,11:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-27 641P,0,641,P,3,1.8,1.59,,540.74,-64.13,-0.1186,EXIT_ALL_LEVEL_STOP,641.0,level_rejection|confluence,-0.5274,0.2902,HIGH,29.02,MIDDAY,5,1,1.54,1.85
2026-03-27,11:50:00,15:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-27 641P,0,641,P,3,1.68,6.73,2.19,504.93,605.92,1.2,TP1_THEN_RUNNER_TARGET,641.0,level_rejection|confluence,-0.5123,0.2894,HIGH,28.94,MIDDAY,230,46,1.62,6.95
2026-03-30,10:40:00,10:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-30 635P,0,635,P,3,1.9,1.5,,571.47,-121.96,-0.2134,EXIT_ALL_LEVEL_STOP,635.0,level_rejection|ribbon_flip,-0.5014,0.3021,HIGH,30.21,MORNING,5,1,1.04,1.99
2026-03-30,13:20:00,13:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-30 634P,0,634,P,3,1.5,1.5,1.95,450.6,90.12,0.2,TP1_THEN_RUNNER_BE_STOP,634.08,level_rejection|confluence,-0.532,0.3075,HIGH,30.75,MIDDAY,15,3,1.39,2.03
2026-03-30,13:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-30 634P,0,634,P,3,1.43,1.97,1.86,428.1,140.14,0.3273,TP1_THEN_RUNNER_TIME,634.08,level_rejection|confluence,-0.5442,0.3067,HIGH,30.67,MIDDAY,125,25,1.24,4.72
2026-04-02,10:05:00,10:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-02 650P,0,650,P,3,1.84,1.37,,553.11,-141.63,-0.2561,EXIT_ALL_LEVEL_STOP,650.34,level_rejection|confluence,-0.5114,0.263,HIGH,26.3,OPEN_DRIVE,15,3,1.21,2.05
