date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-03-18,14:30:00,14:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 665P,0,665,P,3,1.0,0.5,,301.08,-150.54,-0.5,EXIT_ALL_PREMIUM_STOP,665.33,level_rejection|confluence,-0.5638,0.2378,HIGH,23.78,AFTERNOON,5,1,0.35,1.06
2026-03-18,15:40:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 662P,0,662,P,3,0.39,0.39,0.51,117.02,23.4,0.2,TP1_THEN_RUNNER_BE_STOP,662.29,level_rejection|confluence,-0.4933,0.2444,HIGH,24.44,POWER_HOUR,10,2,0.13,0.57
2026-03-26,10:40:00,11:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-26 653P,0,653,P,3,1.89,1.89,2.45,565.6,113.12,0.2,TP1_THEN_RUNNER_BE_STOP,653.18,level_rejection|confluence,-0.5287,0.2675,HIGH,26.75,MORNING,20,4,1.62,2.99
2026-03-30,13:20:00,13:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-30 634P,0,634,P,3,1.5,1.5,1.95,450.6,90.12,0.2,TP1_THEN_RUNNER_BE_STOP,634.08,level_rejection|confluence,-0.532,0.3075,HIGH,30.75,MIDDAY,15,3,1.39,2.03
2026-03-30,13:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-30 634P,0,634,P,3,1.43,1.97,1.86,428.1,140.14,0.3273,TP1_THEN_RUNNER_TIME,634.08,level_rejection|confluence,-0.5442,0.3067,HIGH,30.67,MIDDAY,125,25,1.24,4.72
2026-04-07,10:05:00,10:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-07 652P,0,652,P,3,1.65,1.21,,494.57,-132.61,-0.2681,EXIT_ALL_LEVEL_STOP,653.22,level_rejection|confluence,-0.465,0.2716,HIGH,27.16,OPEN_DRIVE,10,2,1.13,1.65
2026-04-21,14:15:00,14:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-21 705P,0,705,P,3,0.73,0.37,,220.3,-110.15,-0.5,EXIT_ALL_PREMIUM_STOP,706.14,level_rejection|confluence,-0.4744,0.2001,MID,20.01,AFTERNOON,35,7,0.12,0.87
2026-04-23,13:15:00,13:30:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-23 707P,0,707,P,3,1.25,1.25,1.62,374.59,74.92,0.2,TP1_THEN_RUNNER_BE_STOP,707.0,level_rejection|ribbon_flip,-0.5683,0.2028,MID,20.28,MIDDAY,15,3,0.76,1.68
2026-04-23,13:40:00,13:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-23 704P,0,704,P,3,1.1,1.1,1.43,329.08,65.82,0.2,TP1_THEN_RUNNER_BE_STOP,704.08,level_rejection|confluence,-0.5372,0.2131,MID,21.31,MIDDAY,10,2,0.13,2.04
2026-04-28,09:50:00,13:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-28 712P,0,712,P,3,1.58,1.58,2.06,475.48,95.1,0.2,TP1_THEN_RUNNER_BE_STOP,712.29,level_rejection|ribbon_flip|confluence,-0.5374,0.187,MID,18.7,OPEN_DRIVE,225,45,1.19,3.09
2026-04-29,12:30:00,12:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-29 709P,0,709,P,3,1.02,0.84,,306.69,-55.0,-0.1793,EXIT_ALL_LEVEL_STOP,709.25,level_rejection|confluence,-0.4842,0.1897,MID,18.97,MIDDAY,5,1,0.81,1.05
2026-04-29,14:05:00,14:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-29 709P,0,709,P,3,0.87,0.43,,260.77,-130.39,-0.5,EXIT_ALL_PREMIUM_STOP,709.25,level_rejection|ribbon_flip|confluence,-0.5304,0.1889,MID,18.89,AFTERNOON,10,2,0.38,1.07
2026-05-04,11:15:00,13:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-04 719P,0,719,P,3,1.3,1.3,1.7,391.17,78.23,0.2,TP1_THEN_RUNNER_BE_STOP,720.15,level_rejection|ribbon_flip,-0.5277,0.1788,MID,17.88,MORNING,120,24,1.2,4.09
