date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-03-18,14:30:00,14:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 665P,0,665,P,3,1.0,0.5,,301.08,-150.54,-0.5,EXIT_ALL_PREMIUM_STOP,665.33,level_rejection|confluence,-0.5638,0.2378,HIGH,23.78,AFTERNOON,5,1,0.35,1.06
2026-03-18,15:35:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 663P,0,663,P,3,0.73,0.73,0.95,218.52,43.7,0.2,TP1_THEN_RUNNER_BE_STOP,663.0,level_rejection|candlestick_bearish_engulfing,-0.6702,0.2423,HIGH,24.23,POWER_HOUR,15,3,0.6,1.4
2026-03-20,10:50:00,10:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 651P,0,651,P,3,1.52,1.13,,455.2,-116.28,-0.2555,EXIT_ALL_LEVEL_STOP,652.0,level_rejection|candlestick_bearish_marubozu,-0.4696,0.2641,HIGH,26.41,MORNING,5,1,0.92,1.52
2026-03-20,15:20:00,15:25:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 647P,0,647,P,3,0.7,0.54,,211.04,-49.42,-0.2342,EXIT_ALL_LEVEL_STOP,647.0,level_rejection|candlestick_bearish_marubozu,-0.5314,0.2832,HIGH,28.32,POWER_HOUR,5,1,0.44,0.7
2026-03-24,13:10:00,13:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-24 653P,0,653,P,3,1.3,1.2,,388.95,-29.53,-0.0759,EXIT_ALL_LEVEL_STOP,653.0,level_rejection|ribbon_flip,-0.5055,0.2713,HIGH,27.13,MIDDAY,10,2,1.04,1.45
2026-03-26,10:40:00,11:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-26 653P,0,653,P,3,1.89,1.89,2.45,565.6,113.12,0.2,TP1_THEN_RUNNER_BE_STOP,653.18,level_rejection|confluence,-0.5287,0.2675,HIGH,26.75,MORNING,20,4,1.62,2.99
2026-03-26,15:00:00,15:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-26 647P,0,647,P,3,0.92,0.92,1.2,276.57,55.31,0.2,TP1_THEN_RUNNER_BE_STOP,647.0,level_rejection|candlestick_bearish_marubozu,-0.5598,0.2783,HIGH,27.83,AFTERNOON,15,3,0.82,1.41
2026-03-27,13:25:00,13:30:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-27 637P,0,637,P,3,1.51,1.23,,454.03,-83.55,-0.184,EXIT_ALL_LEVEL_STOP,637.0,level_rejection|candlestick_bearish_marubozu,-0.5438,0.3024,HIGH,30.24,MIDDAY,5,1,1.2,1.51
2026-03-30,13:20:00,13:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-30 634P,0,634,P,3,1.5,1.5,1.95,450.6,90.12,0.2,TP1_THEN_RUNNER_BE_STOP,634.08,level_rejection|confluence,-0.532,0.3075,HIGH,30.75,MIDDAY,15,3,1.39,2.03
2026-03-30,13:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-30 634P,0,634,P,3,1.43,1.97,1.86,428.1,140.14,0.3273,TP1_THEN_RUNNER_TIME,634.08,level_rejection|confluence,-0.5442,0.3067,HIGH,30.67,MIDDAY,125,25,1.24,4.72
2026-04-07,10:05:00,10:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-07 652P,0,652,P,3,1.65,1.21,,494.57,-132.61,-0.2681,EXIT_ALL_LEVEL_STOP,653.22,level_rejection|confluence,-0.465,0.2716,HIGH,27.16,OPEN_DRIVE,10,2,1.13,1.65
2026-04-21,14:15:00,14:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-21 705P,0,705,P,3,0.73,0.37,,220.3,-110.15,-0.5,EXIT_ALL_PREMIUM_STOP,706.14,level_rejection|confluence|candlestick_bearish_engulfing,-0.4744,0.2001,MID,20.01,AFTERNOON,35,7,0.12,0.87
2026-04-23,13:05:00,13:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-23 708P,0,708,P,3,1.05,4.19,1.36,314.11,376.93,1.2,TP1_THEN_RUNNER_TARGET,708.75,level_rejection|ribbon_flip|candlestick_bearish_marubozu,-0.5088,0.1973,MID,19.73,MIDDAY,35,7,0.91,4.71
2026-04-28,09:50:00,13:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-28 712P,0,712,P,3,1.58,1.58,2.06,475.48,95.1,0.2,TP1_THEN_RUNNER_BE_STOP,712.29,level_rejection|ribbon_flip|confluence,-0.5374,0.187,MID,18.7,OPEN_DRIVE,225,45,1.19,3.09
2026-04-29,12:30:00,12:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-29 709P,0,709,P,3,1.02,0.84,,306.69,-55.0,-0.1793,EXIT_ALL_LEVEL_STOP,709.25,level_rejection|confluence,-0.4842,0.1897,MID,18.97,MIDDAY,5,1,0.81,1.05
