date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-03-18,14:30:00,14:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 665P,0,665,P,3,1.27,1.27,1.65,381.38,76.28,0.2,TP1_THEN_RUNNER_BE_STOP,665.33,level_rejection|confluence,0.0,0.2378,HIGH,23.78,AFTERNOON,10,2,0.8,1.71
2026-03-18,15:40:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 662P,0,662,P,3,0.47,0.47,0.62,142.1,28.42,0.2,TP1_THEN_RUNNER_BE_STOP,662.29,level_rejection|confluence,0.0,0.2444,HIGH,24.44,POWER_HOUR,10,2,0.32,0.72
2026-03-24,13:10:00,13:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-24 653P,0,653,P,3,1.49,1.24,,447.86,-75.86,-0.1694,EXIT_ALL_LEVEL_STOP,653.0,level_rejection|ribbon_flip,0.0,0.2713,HIGH,27.13,MIDDAY,10,2,1.11,1.6
2026-03-26,10:40:00,11:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-26 653P,0,653,P,3,1.78,1.78,2.31,532.66,106.53,0.2,TP1_THEN_RUNNER_BE_STOP,653.18,level_rejection|confluence,0.0,0.2675,HIGH,26.75,MORNING,25,5,1.73,3.05
2026-03-30,13:20:00,13:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-30 634P,0,634,P,3,1.4,1.4,1.82,421.06,84.21,0.2,TP1_THEN_RUNNER_BE_STOP,634.08,level_rejection|confluence,0.0,0.3075,HIGH,30.75,MIDDAY,15,3,1.33,2.0
2026-04-07,10:05:00,10:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-07 652P,0,652,P,3,1.91,1.5,,574.14,-124.14,-0.2162,EXIT_ALL_LEVEL_STOP,653.22,level_rejection|confluence,0.0,0.2716,HIGH,27.16,OPEN_DRIVE,10,2,1.42,1.96
2026-04-21,14:15:00,14:30:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-21 705P,0,705,P,3,0.68,0.68,0.88,204.06,40.81,0.2,TP1_THEN_RUNNER_BE_STOP,706.14,level_rejection|confluence,0.0,0.2001,MID,20.01,AFTERNOON,15,3,0.46,0.99
2026-04-23,13:05:00,13:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-23 708P,0,708,P,3,1.02,4.08,1.33,305.95,367.14,1.2,TP1_THEN_RUNNER_TARGET,708.75,level_rejection|ribbon_flip,0.0,0.1973,MID,19.73,MIDDAY,35,7,1.02,5.04
2026-04-23,13:40:00,13:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-04-23 704P,0,704,P,3,1.1,1.1,1.43,329.08,65.82,0.2,TP1_THEN_RUNNER_BE_STOP,704.08,level_rejection|confluence,-0.5372,0.2131,MID,21.31,MIDDAY,10,2,0.13,2.04
2026-04-28,09:50:00,10:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-28 712P,0,712,P,3,1.51,1.51,1.96,452.48,90.5,0.2,TP1_THEN_RUNNER_BE_STOP,712.29,level_rejection|ribbon_flip|confluence,0.0,0.187,MID,18.7,OPEN_DRIVE,10,2,1.48,2.03
2026-04-29,12:30:00,12:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-29 709P,0,709,P,3,2.08,1.97,,624.07,-33.07,-0.053,EXIT_ALL_LEVEL_STOP,709.25,level_rejection|confluence,0.0,0.1897,MID,18.97,MIDDAY,5,1,1.94,2.26
2026-04-29,14:05:00,14:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-29 709P,0,709,P,3,1.99,1.73,,597.2,-78.2,-0.1309,EXIT_ALL_LEVEL_STOP,709.25,level_rejection|ribbon_flip|confluence,0.0,0.1889,MID,18.89,AFTERNOON,10,2,1.6,2.45
2026-05-04,11:15:00,12:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-04 719P,0,719,P,3,0.95,3.81,1.24,285.46,342.55,1.2,TP1_THEN_RUNNER_TARGET,720.15,level_rejection|ribbon_flip,0.0,0.1788,MID,17.88,MORNING,50,10,0.95,4.4
