date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-04-10,12:40:00,12:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-10 679P,0,679,P,3,1.23,0.93,,369.79,-89.93,-0.2432,EXIT_ALL_LEVEL_STOP,679.0,level_rejection,-0.5469,0.2017,MID,20.17,MIDDAY,5,1,0.92,1.24
2026-04-10,13:00:00,13:10:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-10 679P,0,679,P,3,1.11,0.93,,331.91,-54.25,-0.1635,EXIT_ALL_LEVEL_STOP,679.0,level_rejection,-0.5294,0.2012,MID,20.12,MIDDAY,10,2,0.89,1.2
2026-04-13,10:00:00,10:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-13 679P,0,679,P,3,1.28,1.14,,382.7,-42.18,-0.1102,EXIT_ALL_RIBBON_FLIP_BACK,680.0,level_rejection,-0.4625,0.2023,MID,20.23,OPEN_DRIVE,20,4,1.05,1.68
2026-04-20,10:50:00,11:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-20 708P,0,708,P,3,1.44,1.44,1.88,433.06,86.61,0.2,TP1_THEN_RUNNER_BE_STOP,708.0,level_rejection,-0.5245,0.1946,MID,19.46,MORNING,30,6,1.22,2.44
2026-04-20,11:30:00,13:10:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-20 708P,0,708,P,3,1.46,0.93,,438.54,-158.73,-0.362,EXIT_ALL_LEVEL_STOP,708.0,level_rejection,-0.5522,0.1943,MID,19.43,MIDDAY,100,20,0.9,1.7
2026-04-21,11:25:00,11:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-21 707P,0,707,P,3,1.43,1.18,,428.34,-72.98,-0.1704,EXIT_ALL_LEVEL_STOP,707.0,level_rejection|ribbon_flip,-0.5359,0.1977,MID,19.77,MORNING,20,4,0.99,1.79
2026-04-21,12:20:00,12:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-21 707P,0,707,P,3,1.39,1.39,1.81,416.69,83.34,0.2,TP1_THEN_RUNNER_BE_STOP,707.0,level_rejection,-0.5609,0.1996,MID,19.96,MIDDAY,25,5,1.04,1.89
2026-04-21,12:50:00,13:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-21 706P,0,706,P,3,1.01,1.01,1.32,304.15,60.83,0.2,TP1_THEN_RUNNER_BE_STOP,706.14,level_rejection|confluence,-0.4814,0.2004,MID,20.04,MIDDAY,10,2,0.89,1.32
2026-04-21,13:10:00,13:25:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-21 705P,0,705,P,3,1.18,1.18,1.54,354.55,70.91,0.2,TP1_THEN_RUNNER_BE_STOP,705.0,level_rejection,-0.5424,0.2048,MID,20.48,MIDDAY,15,3,1.0,1.69
2026-04-23,13:05:00,13:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-23 708P,0,708,P,3,1.05,4.19,1.36,314.11,376.93,1.2,TP1_THEN_RUNNER_TARGET,708.75,level_rejection|ribbon_flip,-0.5088,0.1973,MID,19.73,MIDDAY,35,7,0.91,4.71
2026-04-23,15:35:00,15:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-23 708P,0,708,P,3,0.63,0.31,,188.48,-94.24,-0.5,EXIT_ALL_PREMIUM_STOP,707.95,level_rejection|ribbon_flip,-0.6718,0.1949,MID,19.49,POWER_HOUR,5,1,0.31,0.82
2026-04-28,10:50:00,10:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-28 710P,0,710,P,3,1.46,1.01,,437.72,-133.47,-0.3049,EXIT_ALL_LEVEL_STOP,710.0,level_rejection,-0.5403,0.187,MID,18.7,MORNING,5,1,1.01,1.62
2026-04-28,13:00:00,13:25:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-28 710P,0,710,P,3,1.15,0.83,,344.22,-93.88,-0.2727,EXIT_ALL_LEVEL_STOP,710.0,level_rejection,-0.5532,0.1858,MID,18.58,MIDDAY,25,5,0.74,1.25
2026-04-29,12:25:00,12:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-29 710P,0,710,P,3,1.19,1.19,1.55,357.73,71.55,0.2,TP1_THEN_RUNNER_BE_STOP,710.0,level_rejection,-0.5347,0.1867,MID,18.67,MIDDAY,15,3,1.09,1.7
