date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2025-01-03,11:00:00,11:05:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-01-03 589C,0,589,C,3,0.99,0.92,,298.41,-23.87,-0.08,EXIT_ALL_PREMIUM_STOP,589.0,level_reclaim|ribbon_flip,0.5147,0.1697,MID,16.97,MORNING,5,1,0.79,1.14
2025-01-10,10:30:00,10:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2025-01-10 585P,0,585,P,5,1.1,1.01,,550.69,-44.06,-0.08,EXIT_ALL_PREMIUM_STOP,585.2,level_rejection|confluence,-0.4927,0.1922,MID,19.22,MORNING,5,1,0.88,1.91
2025-01-10,12:00:00,12:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2025-01-10 580P,0,580,P,3,0.82,0.76,,247.42,-19.79,-0.08,EXIT_ALL_PREMIUM_STOP,581.0,level_rejection,-0.4464,0.198,MID,19.8,MIDDAY,5,1,0.75,0.98
2025-01-13,12:00:00,12:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2025-01-13 577P,0,577,P,3,0.82,0.75,,245.79,-19.66,-0.08,EXIT_ALL_PREMIUM_STOP,578.0,level_rejection,-0.4335,0.2065,MID,20.65,MIDDAY,20,4,0.69,1.08
2025-01-16,10:35:00,10:40:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-01-16 594C,0,594,C,5,0.93,0.86,,464.69,-37.18,-0.08,EXIT_ALL_PREMIUM_STOP,593.72,level_reclaim|confluence,0.4932,0.1616,MID,16.16,MORNING,5,1,0.53,1.07
2025-01-16,11:55:00,12:05:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-01-16 593C,0,593,C,3,1.03,1.03,1.34,310.33,62.07,0.2,TP1_THEN_RUNNER_BE_STOP,593.0,level_reclaim|ribbon_flip,0.5832,0.1579,MID,15.79,MIDDAY,10,2,0.99,1.64
2025-01-23,12:45:00,12:50:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-01-23 608C,0,608,C,5,0.53,0.48,,262.77,-21.02,-0.08,EXIT_ALL_PREMIUM_STOP,607.59,level_reclaim|confluence,0.4198,0.1471,LOW,14.71,MIDDAY,5,1,0.34,0.53
2025-01-30,10:35:00,10:40:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-01-30 604C,0,604,C,5,1.21,1.11,,604.43,-48.35,-0.08,EXIT_ALL_PREMIUM_STOP,604.0,level_reclaim|ribbon_flip|confluence,0.5861,0.156,MID,15.6,MORNING,5,1,0.91,1.29
2025-01-30,10:45:00,10:50:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-01-30 606C,0,606,C,3,0.79,0.73,,237.46,-19.0,-0.08,EXIT_ALL_PREMIUM_STOP,605.0,level_reclaim|ribbon_flip,0.4534,0.156,MID,15.6,MORNING,5,1,0.55,0.91
2025-02-05,12:45:00,13:50:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-02-05 602C,0,602,C,5,0.84,0.84,1.09,420.17,75.63,0.18,TP1_THEN_RUNNER_BE_STOP,602.0,level_reclaim|confluence,0.5375,0.1622,MID,16.22,MIDDAY,65,13,0.81,1.41
2025-02-10,11:00:00,12:15:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-02-10 604C,0,604,C,3,0.91,0.91,1.18,272.3,54.46,0.2,TP1_THEN_RUNNER_BE_STOP,603.73,level_reclaim|ribbon_flip,0.4962,0.16,MID,16.0,MORNING,75,15,0.86,1.67
2025-02-11,15:40:00,15:45:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-02-11 606C,0,606,C,5,0.09,0.09,,46.81,-3.74,-0.08,EXIT_ALL_PREMIUM_STOP,605.49,level_reclaim|confluence,0.2613,0.1586,MID,15.86,POWER_HOUR,5,1,0.03,0.09
2025-02-13,10:50:00,11:05:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-02-13 604C,0,604,C,5,1.1,1.1,1.43,548.41,98.71,0.18,TP1_THEN_RUNNER_BE_STOP,604.0,level_reclaim|confluence,0.5625,0.1553,MID,15.53,MORNING,15,3,1.01,2.04
2025-02-13,15:05:00,15:10:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-02-13 608C,0,608,C,5,0.4,0.37,,199.59,-15.97,-0.08,EXIT_ALL_PREMIUM_STOP,608.0,level_reclaim|confluence,0.5182,0.1522,MID,15.22,AFTERNOON,5,1,0.27,0.42
2025-02-13,15:15:00,15:20:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-02-13 608C,0,608,C,5,0.49,0.45,,242.68,-19.41,-0.08,EXIT_ALL_PREMIUM_STOP,608.1,level_reclaim|confluence,0.6183,0.1522,MID,15.22,POWER_HOUR,5,1,0.36,0.55
2025-02-13,15:25:00,15:30:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-02-13 608C,0,608,C,5,0.46,0.42,,228.16,-18.25,-0.08,EXIT_ALL_PREMIUM_STOP,608.1,level_reclaim|confluence,0.6407,0.1522,MID,15.22,POWER_HOUR,5,1,0.36,0.75
2025-02-19,12:10:00,12:15:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-02-19 611C,0,611,C,5,0.92,0.84,,458.85,-36.71,-0.08,EXIT_ALL_PREMIUM_STOP,610.99,level_reclaim|confluence,0.5478,0.1558,MID,15.58,MIDDAY,5,1,0.8,0.92
2025-02-19,13:35:00,14:05:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-02-19 611C,0,611,C,5,0.7,0.7,0.91,348.81,62.79,0.18,TP1_THEN_RUNNER_BE_STOP,610.99,level_reclaim|confluence,0.5324,0.1562,MID,15.62,MIDDAY,30,6,0.6,1.09
2025-02-25,11:00:00,11:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2025-02-25 594P,0,594,P,3,1.33,1.23,,400.03,-32.0,-0.08,EXIT_ALL_PREMIUM_STOP,594.0,level_rejection,-0.5468,0.2036,MID,20.36,MORNING,5,1,1.09,1.58
2025-02-28,10:30:00,10:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2025-02-28 583P,0,583,P,3,1.04,0.95,,310.79,-24.86,-0.08,EXIT_ALL_PREMIUM_STOP,584.0,level_rejection,-0.4483,0.2095,MID,20.95,MORNING,5,1,0.3,1.04
2025-02-28,13:00:00,13:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2025-02-28 587P,0,587,P,3,1.09,1.0,,326.31,-26.11,-0.08,EXIT_ALL_PREMIUM_STOP,587.0,level_rejection,-0.5478,0.2164,MID,21.64,MIDDAY,5,1,0.85,1.16
2025-03-03,10:30:00,10:35:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2025-03-03 597C,0,597,C,3,1.2,1.1,,359.21,-28.74,-0.08,EXIT_ALL_PREMIUM_STOP,596.0,level_reclaim|ribbon_flip,0.4939,0.2053,MID,20.53,MORNING,5,1,0.51,1.21
