date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-02-20,11:00:00,11:05:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-02-20 687C,0,687,C,5,1.1,1.01,,548.96,-43.92,-0.08,EXIT_ALL_PREMIUM_STOP,686.0,level_reclaim|ribbon_flip|confluence,0.4643,0.1887,MID,18.87,MORNING,5,1,0.41,1.29
2026-03-03,11:00:00,11:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-03 672P,0,672,P,3,1.63,1.5,,489.43,-39.15,-0.08,EXIT_ALL_PREMIUM_STOP,673.0,level_rejection,-0.4816,0.269,HIGH,26.9,MORNING,5,1,1.15,1.89
2026-03-05,11:00:00,11:10:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-05 684P,0,684,P,3,1.33,1.33,1.72,397.88,79.58,0.2,TP1_THEN_RUNNER_BE_STOP,685.0,level_rejection,-0.4679,0.2247,HIGH,22.47,MORNING,10,2,1.26,2.05
2026-03-05,12:00:00,12:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-05 681P,0,681,P,3,1.4,1.29,,420.32,-33.63,-0.08,EXIT_ALL_PREMIUM_STOP,681.0,level_rejection,-0.5155,0.2294,HIGH,22.94,MIDDAY,5,1,1.28,1.82
2026-03-18,10:25:00,10:30:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 666P,0,666,P,3,1.57,1.45,,471.35,-37.71,-0.08,EXIT_ALL_PREMIUM_STOP,666.9,level_rejection,-0.5012,0.2326,HIGH,23.26,MORNING,5,1,1.13,1.61
2026-03-18,12:30:00,12:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 666P,0,666,P,3,1.07,0.99,,321.83,-25.75,-0.08,EXIT_ALL_PREMIUM_STOP,667.0,level_rejection,-0.4531,0.2344,HIGH,23.44,MIDDAY,5,1,0.86,1.31
2026-03-18,13:10:00,13:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 666P,0,666,P,3,1.31,1.21,,393.19,-31.46,-0.08,EXIT_ALL_PREMIUM_STOP,666.0,level_rejection,-0.547,0.237,HIGH,23.7,MIDDAY,5,1,1.08,1.38
2026-03-18,13:40:00,13:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 666P,0,666,P,3,1.06,0.98,,317.95,-25.44,-0.08,EXIT_ALL_PREMIUM_STOP,666.0,level_rejection,-0.5106,0.236,HIGH,23.6,MIDDAY,5,1,0.71,1.08
2026-03-18,15:10:00,15:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 664P,0,664,P,3,0.64,0.59,,191.92,-15.35,-0.08,EXIT_ALL_PREMIUM_STOP,664.0,level_rejection,-0.5118,0.2384,HIGH,23.84,AFTERNOON,5,1,0.57,0.98
2026-03-18,15:20:00,15:25:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 663P,0,663,P,3,0.69,0.64,,207.83,-16.63,-0.08,EXIT_ALL_PREMIUM_STOP,663.0,level_rejection,-0.5715,0.2416,HIGH,24.16,POWER_HOUR,5,1,0.43,0.7
2026-03-18,15:35:00,15:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 663P,0,663,P,3,0.73,0.67,,218.52,-17.48,-0.08,EXIT_ALL_PREMIUM_STOP,663.0,level_rejection,-0.6702,0.2423,HIGH,24.23,POWER_HOUR,5,1,0.6,1.28
2026-03-19,11:20:00,11:25:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-19 658P,0,658,P,3,1.78,1.64,,533.51,-42.68,-0.08,EXIT_ALL_PREMIUM_STOP,658.0,level_rejection,-0.5459,0.2543,HIGH,25.43,MORNING,5,1,1.51,1.94
2026-03-19,11:30:00,11:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-19 657P,0,657,P,3,1.61,1.48,,484.22,-38.74,-0.08,EXIT_ALL_PREMIUM_STOP,657.0,level_rejection,-0.5173,0.2567,HIGH,25.67,MIDDAY,5,1,1.43,1.85
2026-03-19,13:00:00,13:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-19 657P,0,657,P,3,1.46,1.46,1.9,438.69,87.74,0.2,TP1_THEN_RUNNER_BE_STOP,657.0,level_rejection,-0.556,0.2536,HIGH,25.36,MIDDAY,15,3,1.22,1.99
2026-03-20,10:50:00,10:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 651P,0,651,P,3,1.52,1.4,,455.2,-36.42,-0.08,EXIT_ALL_PREMIUM_STOP,652.0,level_rejection,-0.4696,0.2641,HIGH,26.41,MORNING,5,1,0.92,1.52
2026-03-20,13:05:00,13:10:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 653P,0,653,P,3,1.31,1.21,,394.47,-31.56,-0.08,EXIT_ALL_PREMIUM_STOP,653.19,level_rejection,-0.5171,0.2616,HIGH,26.16,MIDDAY,5,1,1.14,1.62
2026-03-20,13:45:00,13:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 651P,0,651,P,3,1.19,1.09,,355.89,-28.47,-0.08,EXIT_ALL_PREMIUM_STOP,651.0,level_rejection,-0.5243,0.2638,HIGH,26.38,MIDDAY,5,1,0.83,1.24
2026-03-20,15:20:00,15:25:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 647P,0,647,P,3,0.7,0.65,,211.04,-16.88,-0.08,EXIT_ALL_PREMIUM_STOP,647.0,level_rejection,-0.5314,0.2832,HIGH,28.32,POWER_HOUR,5,1,0.44,0.7
