date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-04-28,10:40:00,10:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-28 712P,0,712,P,22,2.49,2.29,,5478.0,-438.24,-0.08,EXIT_ALL_PREMIUM_STOP,710.79,level_rejection,0.0,0.1869,MID,18.69,MORNING,10,2,2.02,2.65
2026-04-29,12:15:00,13:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-29 712P,0,712,P,3,3.15,2.9,,945.0,-75.6,-0.08,EXIT_ALL_PREMIUM_STOP,,trendline_rejection,0.0,0.1882,MID,18.82,MIDDAY,95,19,2.78,4.04
2026-04-30,10:05:00,10:10:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-04-30 710C,0,710,C,10,3.16,2.91,,3160.0,-252.8,-0.08,EXIT_ALL_PREMIUM_STOP,711.47,level_reclaim|confluence,0.0,0.1743,MID,17.43,OPEN_DRIVE,10,2,2.47,3.16
2026-04-30,13:25:00,15:50:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-04-30 714C,0,714,C,10,2.18,5.28,2.83,2180.0,1632.4,0.7488,TP1_THEN_RUNNER_TIME,715.63,level_reclaim|confluence,0.0,0.1739,MID,17.39,MIDDAY,150,30,2.18,5.7
2026-05-01,13:40:00,13:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-01 725P,0,725,P,3,2.22,2.23,,666.0,3.0,0.0045,EXIT_ALL_RIBBON_FLIP_BACK,,trendline_rejection,0.0,0.1689,MID,16.89,MIDDAY,10,2,2.12,2.28
2026-05-04,10:10:00,10:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-04 722P,0,722,P,10,2.35,2.16,,2350.0,-188.0,-0.08,EXIT_ALL_PREMIUM_STOP,720.67,level_rejection|confluence,0.0,0.175,MID,17.5,OPEN_DRIVE,10,2,1.33,2.35
2026-05-04,11:20:00,13:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-04 721P,0,721,P,15,2.68,2.68,3.48,4020.0,804.0,0.2,TP1_THEN_RUNNER_RIBBON,720.47,level_rejection|ribbon_flip|confluence,0.0,0.1788,MID,17.88,MORNING,125,25,2.56,6.23
2026-05-05,15:20:00,15:25:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-05 723C,0,723,C,10,1.98,1.82,,1980.0,-158.4,-0.08,EXIT_ALL_PREMIUM_STOP,724.87,level_reclaim|confluence,0.0,0.1727,MID,17.27,POWER_HOUR,10,2,1.76,2.09
2026-05-07,11:55:00,12:00:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-07 733C,0,733,C,10,2.26,2.08,,2260.0,-180.8,-0.08,EXIT_ALL_PREMIUM_STOP,734.59,level_reclaim|confluence,0.0,0.1727,MID,17.27,MIDDAY,10,2,1.38,2.26
2026-05-07,12:50:00,13:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-07 735P,0,735,P,3,2.8,2.58,,840.0,-67.2,-0.08,EXIT_ALL_PREMIUM_STOP,,ribbon_flip|trendline_rejection,0.0,0.1741,MID,17.41,MIDDAY,20,4,2.54,3.5
