timestamp_et,spy_close,vix,ribbon_stack,ribbon_spread_cents,htf_15m_stack,bear_score,blockers,triggers_fired,rejection_level,passed
2026-05-19T13:25:00-04:00,736.98,17.950000762939453,BULL,204.07695210941483,,7,5|8|10,,,False
2026-05-19T13:30:00-04:00,736.77,17.979999542236328,BULL,202.20105674004571,,7,5|8|10,,,False
2026-05-19T13:35:00-04:00,737.22,17.950000762939453,BULL,204.07159724254598,,6,5|8|9|10,,,False
2026-05-19T13:40:00-04:00,737.12,17.950000762939453,BULL,203.39914600995144,,7,5|8|10,,,False
2026-05-19T13:45:00-04:00,736.73,18.010000228881836,BULL,197.68069254171223,,8,5|10,,,False
2026-05-19T13:50:00-04:00,736.45,18.030000686645508,BULL,188.96942355298734,,8,5|8,level_rejection,736.6,False
2026-05-19T13:55:00-04:00,736.77,17.950000762939453,BULL,183.97083258528255,,5,5|7|8|9|10,,,False
2026-05-19T14:00:00-04:00,736.91,17.920000076293945,BULL,180.21705906322723,,4,1|5|7|8|9|10,,,False
2026-05-19T14:05:00-04:00,737.11,17.899999618530273,BULL,178.1208542488116,,5,1|5|8|9|10,,,False
2026-05-19T14:10:00-04:00,736.9946,17.889999389648438,BULL,174.18128729207183,,6,1|5|8|10,,,False
2026-05-19T14:15:00-04:00,736.81,17.93000030517578,BULL,168.04303523263115,,6,1|5|8|10,,,False
2026-05-19T14:20:00-04:00,736.25,17.940000534057617,BULL,156.3022971824239,,7,1|5|8,level_rejection,736.6,False
2026-05-19T14:25:00-04:00,735.88,18.010000228881836,BULL,141.9626682479361,,8,1|5,level_rejection,736.6,False
2026-05-19T14:30:00-04:00,736.07,18.06999969482422,BULL,131.2842405627407,,6,1|5|7|9,level_rejection,736.1,False
2026-05-19T14:35:00-04:00,735.695,18.049999237060547,BULL,117.91285546552217,,6,1|5|7|8,level_rejection,736.1,False
2026-05-19T14:40:00-04:00,735.85,17.989999771118164,BULL,107.81356593680584,,5,1|5|8|9|10,,,False
2026-05-19T14:45:00-04:00,735.675,17.979999542236328,BULL,97.09599515264244,,7,1|5|8,level_rejection,735.85,False
2026-05-19T14:50:00-04:00,734.89,18.049999237060547,MIXED,82.54312645182154,,6,1|5|9|10,,,False
2026-05-19T14:55:00-04:00,734.45,18.07999992370605,MIXED,70.48812752216236,,6,1|5|8|10,,,False
2026-05-19T15:00:00-04:00,734.56,18.030000686645508,MIXED,60.351036604515684,,5,5|7|8|9|10,,,False
2026-05-19T15:05:00-04:00,735.24,17.920000076293945,MIXED,55.0198156755755,,6,5|8|9|10,,,False
2026-05-19T15:10:00-04:00,736.01,17.850000381469727,MIXED,54.36980639254898,,6,5|8|9|10,,,False
2026-05-19T15:15:00-04:00,735.34,17.93000030517578,MIXED,49.94809840876542,,9,5,level_rejection|trendline_rejection,736.1,False
2026-05-19T15:20:00-04:00,734.21,18.09000015258789,MIXED,39.76697341056479,,9,5,level_rejection|trendline_rejection,734.13,False
2026-05-19T15:25:00-04:00,734.77,18.049999237060547,MIXED,33.82449283034248,,5,5|7|8|9|10,,,False
2026-05-19T15:30:00-04:00,734.31,18.06999969482422,MIXED,26.03252671814289,,5,5|6|7|8|10,,,False
2026-05-19T15:35:00-04:00,734.17,18.09000015258789,MIXED,24.285357377641503,,7,5|6|8,level_rejection,734.13,False
