date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-05-20,13:00:00,13:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-05-20 739P,0,739,P,3,0.91,0.94,,273.9,7.37,0.0269,EXIT_ALL_RIBBON_FLIP_BACK,0.0,trendline_rejection,-0.4812,0.1773,MID,17.73,MIDDAY,5,1,0.85,1.03
2026-05-21,10:20:00,10:25:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-05-21 738P,0,738,P,3,1.38,1.07,,412.77,-93.23,-0.2259,EXIT_ALL_LEVEL_STOP,738.0,level_rejection|ribbon_flip,-0.5112,0.177,MID,17.7,MORNING,5,1,1.02,1.44
2026-05-21,11:30:00,11:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-05-21 738P,0,738,P,3,1.16,0.73,,346.54,-128.63,-0.3712,EXIT_ALL_LEVEL_STOP,738.85,level_rejection|trendline_rejection,-0.4971,0.1743,MID,17.43,MIDDAY,5,1,0.72,1.21
2026-05-22,12:55:00,13:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-05-22 747P,0,747,P,3,0.78,0.57,,235.48,-64.76,-0.275,EXIT_ALL_RIBBON_FLIP_BACK,0.0,trendline_rejection,-0.4494,0.1651,MID,16.51,MIDDAY,5,1,0.57,0.78
2026-05-26,09:45:00,09:50:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-26 749C,0,749,C,22,2.46,2.09,,5412.0,-811.8,-0.15,EXIT_ALL_PREMIUM_STOP,749.9,level_reclaim|ribbon_flip,0.0,0.1594,MID,15.94,OPEN_DRIVE,10,2,1.89,2.71
2026-05-26,10:40:00,10:55:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-26 750C,0,750,C,22,2.35,2.0,,5170.0,-775.5,-0.15,EXIT_ALL_PREMIUM_STOP,751.69,level_reclaim,0.0,0.1601,MID,16.01,MORNING,20,4,1.93,2.58
2026-05-26,15:50:00,15:55:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-26 749C,0,749,C,22,1.67,1.42,,3674.0,-551.1,-0.15,EXIT_ALL_PREMIUM_STOP,750.44,level_reclaim,0.0,0.1593,MID,15.93,POWER_HOUR,10,2,1.09,1.69
2026-05-27,09:55:00,10:25:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-27 748C,0,748,C,22,2.95,2.51,,6490.0,-973.5,-0.15,EXIT_ALL_PREMIUM_STOP,749.6,level_reclaim,0.0,0.1582,MID,15.82,OPEN_DRIVE,35,7,2.44,3.73
2026-05-27,15:05:00,15:20:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-27 749C,0,749,C,22,2.08,1.77,,4576.0,-686.4,-0.15,EXIT_ALL_PREMIUM_STOP,750.9,level_reclaim,0.0,0.1585,MID,15.85,AFTERNOON,20,4,1.75,2.12
2026-05-28,10:15:00,10:20:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-28 751C,0,751,C,15,2.67,2.27,,4005.0,-600.75,-0.15,EXIT_ALL_PREMIUM_STOP,750.24,level_reclaim|ribbon_flip|confluence,0.0,0.1544,MID,15.44,MORNING,10,2,1.84,2.72
2026-05-29,09:40:00,10:15:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-29 755C,0,755,C,22,2.55,2.55,3.31,5610.0,1071.0,0.1909,TP1_THEN_RUNNER_RIBBON,756.1,level_reclaim,0.0,0.1522,MID,15.22,OPEN_DRIVE,40,8,2.27,3.5
2026-05-29,10:55:00,13:20:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-29 754C,0,754,C,10,2.59,2.59,3.37,2590.0,466.2,0.18,TP1_THEN_RUNNER_RIBBON,754.91,level_reclaim|confluence,0.0,0.1519,MID,15.19,MORNING,150,30,2.53,3.91
