timestamp_et,spy_close,vix,ribbon_stack,ribbon_spread_cents,htf_15m_stack,bear_score,blockers,triggers_fired,rejection_level,passed
2026-03-16T13:25:00-04:00,669.2000122070312,24.100000381469727,MIXED,33.599152534713994,,7,5|7|10,,,False
2026-03-16T13:30:00-04:00,669.0800170898438,24.149999618530277,MIXED,31.364889690553355,,6,5|8|9|10,,,False
2026-03-16T13:35:00-04:00,668.9000244140625,24.1299991607666,MIXED,30.283551212210114,,7,5|8|9,level_rejection,669.0692,False
2026-03-16T13:40:00-04:00,668.6599731445312,24.170000076293945,BEAR,31.115043280533428,,8,8|9,level_rejection|ribbon_flip,669.0692,False
2026-03-16T13:45:00-04:00,668.3599853515625,24.239999771118164,BEAR,35.36827356574577,,10,,level_rejection|ribbon_flip,669.0692,True
2026-03-16T14:05:00-04:00,669.52001953125,23.799999237060547,MIXED,23.48365425020802,,4,1|5|6|8|9|10,,,False
2026-03-16T14:10:00-04:00,669.5499877929688,23.76000022888184,MIXED,19.096346829223876,,4,1|5|6|8|9|10,,,False
2026-03-16T14:15:00-04:00,669.8200073242188,23.6299991607666,MIXED,13.745170649201555,,4,1|5|6|8|9|10,,,False
2026-03-16T14:20:00-04:00,669.9500122070312,23.61000061035156,MIXED,11.049461515312942,,4,1|5|6|8|9|10,,,False
2026-03-16T14:25:00-04:00,669.7999877929688,23.61000061035156,MIXED,12.591271575615792,,5,1|5|6|8|10,,,False
2026-03-16T14:30:00-04:00,669.9199829101562,23.68000030517578,MIXED,14.18705651271921,,5,1|5|6|9|10,,,False
2026-03-16T14:35:00-04:00,670.0700073242188,23.63999938964844,BULL,19.914306300665885,,3,1|5|6|7|8|9|10,,,False
2026-03-16T14:40:00-04:00,670.1799926757812,23.559999465942383,BULL,25.936162452535427,,4,1|5|6|8|9|10,,,False
2026-03-16T14:45:00-04:00,670.0750122070312,23.559999465942383,BULL,29.664615715785203,,5,1|5|6|8|10,,,False
2026-03-16T14:50:00-04:00,669.739990234375,23.700000762939453,BULL,29.138428207068046,,6,1|5|6|10,,,False
2026-03-16T14:55:00-04:00,669.60498046875,23.770000457763672,BULL,27.158265193770603,,6,1|5|6|10,,,False
2026-03-16T15:00:00-04:00,669.5800170898438,23.780000686645508,BULL,25.11717386341843,,6,5|6|8|10,,,False
