date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-03-16,13:45:00,14:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-03-16 668P,0,668,P,3,0.86,0.49,,258.63,-111.43,-0.4309,EXIT_ALL_LEVEL_STOP,669.07,level_rejection|ribbon_flip,-0.443,0.2424,HIGH,24.24,MIDDAY,15,3,0.49,1.02
2026-03-18,10:10:00,10:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-03-18 667P,0,667,P,3,1.5,1.5,1.95,450.38,90.08,0.2,TP1_THEN_RUNNER_BE_STOP,668.0,level_rejection,-0.481,0.2314,HIGH,23.14,OPEN_DRIVE,45,9,1.18,2.3
2026-03-18,12:30:00,12:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-03-18 666P,0,666,P,3,1.08,0.73,,323.09,-102.72,-0.3179,EXIT_ALL_LEVEL_STOP,667.0,level_rejection,-0.4532,0.2352,HIGH,23.52,MIDDAY,20,4,0.7,1.31
2026-03-18,12:55:00,13:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-03-18 667P,0,667,P,3,1.4,1.4,1.82,420.86,84.17,0.2,TP1_THEN_RUNNER_BE_STOP,667.0,level_rejection,-0.5589,0.2344,HIGH,23.44,MIDDAY,40,8,1.29,2.12
2026-03-18,13:40:00,13:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-03-18 666P,0,666,P,3,1.06,0.92,,317.95,-42.43,-0.1334,EXIT_ALL_LEVEL_STOP,666.0,level_rejection,-0.5106,0.236,HIGH,23.6,MIDDAY,5,1,0.71,1.08
2026-03-18,15:15:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 666P,0,666,P,3,2.18,4.0,2.83,654.0,312.8,0.4783,TP1_THEN_RUNNER_TIME,664.0,level_rejection,0.0,0.2384,HIGH,23.84,POWER_HOUR,40,8,2.18,4.39
2026-03-18,15:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 664P,0,664,P,5,2.1,1.89,,1050.0,-105.0,-0.1,EXIT_ALL_PREMIUM_STOP,662.29,level_rejection|confluence,0.0,0.2444,HIGH,24.44,POWER_HOUR,10,2,1.77,2.27
2026-03-19,11:15:00,11:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-03-19 658P,0,658,P,3,1.47,1.47,1.92,441.95,88.39,0.2,TP1_THEN_RUNNER_BE_STOP,659.0,level_rejection,-0.486,0.2511,HIGH,25.11,MORNING,40,8,1.37,2.56
2026-03-19,12:10:00,12:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-03-19 658P,0,658,P,3,1.47,1.29,,441.81,-54.76,-0.1239,EXIT_ALL_LEVEL_STOP,658.0,level_rejection,-0.5189,0.2522,HIGH,25.22,MIDDAY,25,5,1.23,1.84
2026-03-19,12:45:00,13:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON::BS_FALLBACK,SPY 2026-03-19 658P,0,658,P,3,1.46,1.46,1.9,438.15,87.63,0.2,TP1_THEN_RUNNER_BE_STOP,658.0,level_rejection,-0.5455,0.2507,HIGH,25.07,MIDDAY,35,7,1.39,2.75
