date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-03-18,14:35:00,15:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 665P,0,665,P,3,1.65,1.65,2.15,495.0,99.0,0.2,TP1_THEN_RUNNER_RIBBON,665.33,level_rejection|confluence,0.0,0.2378,HIGH,23.78,AFTERNOON,35,7,0.96,2.16
2026-03-18,15:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 662P,0,662,P,3,0.56,0.36,,168.0,-60.0,-0.3571,EXIT_ALL_TIME_STOP,662.29,level_rejection|confluence,0.0,0.2444,HIGH,24.44,POWER_HOUR,10,2,0.32,0.56
2026-03-24,13:15:00,13:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-24 653P,0,653,P,3,1.45,0.72,,435.0,-217.5,-0.5,EXIT_ALL_PREMIUM_STOP,653.0,level_rejection|ribbon_flip,0.0,0.2713,HIGH,27.13,MIDDAY,45,9,0.69,1.53
2026-03-26,10:45:00,10:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-26 653P,0,653,P,3,1.99,1.99,2.59,597.0,119.4,0.2,TP1_THEN_RUNNER_RIBBON,653.18,level_rejection|confluence,0.0,0.2675,HIGH,26.75,MORNING,15,3,1.85,3.05
2026-03-30,13:25:00,13:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-30 634P,0,634,P,3,1.44,1.44,1.87,432.0,86.4,0.2,TP1_THEN_RUNNER_RIBBON,634.08,level_rejection|confluence,0.0,0.3075,HIGH,30.75,MIDDAY,15,3,1.39,2.0
2026-04-07,10:10:00,10:20:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-07 652P,0,652,P,3,1.96,1.1,,588.0,-258.0,-0.4388,EXIT_ALL_LEVEL_STOP,653.22,level_rejection|confluence,0.0,0.2716,HIGH,27.16,OPEN_DRIVE,15,3,1.03,1.96
2026-04-21,14:20:00,14:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-21 705P,0,705,P,3,0.84,0.42,,252.0,-126.0,-0.5,EXIT_ALL_PREMIUM_STOP,706.14,level_rejection|confluence,0.0,0.2001,MID,20.01,AFTERNOON,35,7,0.33,0.91
2026-04-23,13:10:00,14:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-23 708P,0,708,P,3,1.58,1.58,2.05,474.0,94.8,0.2,TP1_THEN_RUNNER_RIBBON,708.75,level_rejection|ribbon_flip,0.0,0.1973,MID,19.73,MIDDAY,60,12,1.45,5.91
2026-04-23,13:45:00,13:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-23 704P,0,704,P,3,2.11,1.19,,633.0,-276.0,-0.436,EXIT_ALL_LEVEL_STOP,704.08,level_rejection|confluence,0.0,0.2131,MID,21.31,MIDDAY,10,2,1.06,2.57
2026-04-28,09:55:00,13:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-28 712P,0,712,P,3,1.66,1.66,2.48,498.0,164.0,0.3293,TP1_THEN_RUNNER_RIBBON,712.29,level_rejection|ribbon_flip|confluence,0.0,0.187,MID,18.7,OPEN_DRIVE,225,45,1.19,3.12
2026-04-29,12:35:00,12:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-29 709P,0,709,P,3,2.22,1.79,,666.0,-129.0,-0.1937,EXIT_ALL_LEVEL_STOP,709.25,level_rejection|confluence,0.0,0.1897,MID,18.97,MIDDAY,10,2,1.73,2.22
2026-04-29,14:10:00,14:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-04-29 709P,0,709,P,3,2.22,1.11,,666.0,-333.0,-0.5,EXIT_ALL_PREMIUM_STOP,709.25,level_rejection|ribbon_flip|confluence,0.0,0.1889,MID,18.89,AFTERNOON,50,10,1.08,2.25
2026-05-04,11:20:00,13:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-04 719P,0,719,P,3,1.56,1.56,2.03,468.0,93.6,0.2,TP1_THEN_RUNNER_RIBBON,720.15,level_rejection|ribbon_flip,0.0,0.1788,MID,17.88,MORNING,120,24,1.24,4.4
