date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-03-18,14:35:00,15:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 667P,0,667,P,3,2.89,2.89,3.76,867.0,173.4,0.2,TP1_THEN_RUNNER_RIBBON,665.33,level_rejection|confluence,0.0,0.2378,HIGH,23.78,AFTERNOON,30,6,2.1,3.8
2026-03-18,15:15:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 666P,0,666,P,3,2.18,4.0,2.83,654.0,312.8,0.4783,TP1_THEN_RUNNER_TIME,664.0,level_rejection,0.0,0.2384,HIGH,23.84,POWER_HOUR,40,8,2.18,4.39
2026-03-18,15:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-18 664P,0,664,P,3,2.1,2.03,,630.0,-21.0,-0.0333,EXIT_ALL_TIME_STOP,662.29,level_rejection|confluence,0.0,0.2444,HIGH,24.44,POWER_HOUR,10,2,1.77,2.27
2026-03-20,10:55:00,11:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 653P,0,653,P,3,2.86,1.92,,858.0,-283.14,-0.33,EXIT_ALL_PREMIUM_STOP,652.0,level_rejection,0.0,0.2641,HIGH,26.41,MORNING,10,2,1.77,2.86
2026-03-20,13:10:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 655P,0,655,P,3,2.6,7.16,3.76,780.0,688.0,0.8821,TP1_THEN_RUNNER_TIME,653.19,level_rejection,0.0,0.255,HIGH,25.5,MIDDAY,165,33,2.6,10.2
2026-03-20,14:25:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 651P,0,651,P,3,2.6,3.3,3.38,780.0,226.0,0.2897,TP1_THEN_RUNNER_TIME,649.0,level_rejection,0.0,0.2734,HIGH,27.34,AFTERNOON,90,18,2.08,6.22
2026-03-20,15:10:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 650P,0,650,P,3,2.47,2.47,3.21,741.0,148.2,0.2,TP1_THEN_RUNNER_TIME,648.0,level_rejection,0.0,0.2802,HIGH,28.02,AFTERNOON,45,9,2.23,5.27
2026-03-20,15:40:00,15:45:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-20 648P,0,648,P,3,2.59,1.74,,777.0,-256.41,-0.33,EXIT_ALL_PREMIUM_STOP,646.0,level_rejection,0.0,0.2907,HIGH,29.07,POWER_HOUR,10,2,1.41,2.59
2026-03-24,13:10:00,13:30:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-24 655P,0,655,P,3,2.62,1.76,,786.0,-259.38,-0.33,EXIT_ALL_PREMIUM_STOP,,ribbon_flip,0.0,0.2705,HIGH,27.05,MIDDAY,25,5,1.71,2.84
2026-03-26,10:45:00,11:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-03-26 655P,0,655,P,3,3.24,3.24,3.56,972.0,64.0,0.0658,TP1_THEN_RUNNER_RIBBON,653.18,level_rejection|confluence,0.0,0.2675,HIGH,26.75,MORNING,20,4,3.05,4.58
