date,entry_time,dollar_pnl,win,rolling_wr_k,rolling_wr,cls_h50_l35,exit_reason
2025-01-03,11:05,-354.0,0,15,,WARMUP,EXIT_ALL_PREMIUM_STOP
2025-01-06,14:45,202.2,1,15,,WARMUP,TP1_THEN_RUNNER_TIME
2025-01-08,10:35,1247.4,1,15,,WARMUP,TP1_THEN_RUNNER_RIBBON
2025-01-10,10:30,396.5,1,15,,WARMUP,TP1_THEN_RUNNER_TARGET
2025-01-16,10:40,-229.6,0,15,,WARMUP,EXIT_ALL_PREMIUM_STOP
2025-01-16,11:25,-309.6,0,15,,WARMUP,EXIT_ALL_PREMIUM_STOP
2025-01-16,15:15,-117.0,0,15,,WARMUP,EXIT_ALL_PREMIUM_STOP
2025-01-21,11:20,-208.0,0,15,,WARMUP,EXIT_ALL_PREMIUM_STOP
2025-01-23,12:50,-150.4,0,15,,WARMUP,EXIT_ALL_PREMIUM_STOP
2025-01-23,14:15,-172.0,0,15,,WARMUP,EXIT_ALL_PREMIUM_STOP
2025-01-30,10:40,1352.4,1,15,,WARMUP,TP1_THEN_RUNNER_RIBBON
2025-01-30,11:35,-215.2,0,15,,WARMUP,EXIT_ALL_PREMIUM_STOP
2025-01-30,14:25,-196.0,0,15,,WARMUP,EXIT_ALL_PREMIUM_STOP
2025-01-31,10:55,473.4,1,15,,WARMUP,TP1_THEN_RUNNER_RIBBON
2025-02-05,12:55,-165.6,0,15,,WARMUP,EXIT_ALL_PREMIUM_STOP
2025-02-07,10:45,-422.4,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-02-10,11:05,798.0,1,15,0.3333,LOW,TP1_THEN_RUNNER_RIBBON
2025-02-12,14:40,-223.2,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-02-18,15:40,-103.2,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-02-19,12:15,-193.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-02-19,13:40,-184.8,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-02-21,14:05,410.4,1,15,0.2,LOW,TP1_THEN_RUNNER_RIBBON
2025-02-24,11:05,-163.8,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-02-24,14:45,-1.41,0,15,0.2667,LOW,EXIT_ALL_RIBBON_FLIP_BACK
2025-02-25,14:15,148.2,1,15,0.2667,LOW,TP1_THEN_RUNNER_RIBBON
2025-02-28,10:30,-155.39,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-03-05,15:05,579.6,1,15,0.2667,LOW,TP1_THEN_RUNNER_RIBBON
2025-03-06,13:05,-1440.6,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-03-06,14:05,-921.0,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-03-11,10:05,-1465.4,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-03-18,11:00,184.2,1,15,0.2667,LOW,TP1_THEN_RUNNER_RIBBON
2025-03-26,12:05,-448.0,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-03-28,10:00,492.8,1,15,0.2667,LOW,TP1_THEN_RUNNER_TARGET
2025-04-02,15:00,-179.4,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-04-03,10:00,89.09,1,15,0.3333,LOW,TP1_THEN_RUNNER_BE_STOP
2025-04-04,15:25,-144.48,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2025-04-10,11:40,323.4,1,15,0.4,MID,TP1_THEN_RUNNER_RIBBON
2025-04-16,11:00,-59.61,0,15,0.4,MID,EXIT_ALL_LEVEL_STOP
2025-04-21,10:50,336.6,1,15,0.4,MID,TP1_THEN_RUNNER_TIME
2025-04-28,11:45,187.2,1,15,0.4667,MID,TP1_THEN_RUNNER_RIBBON
2025-05-05,10:25,-147.6,0,15,0.4667,MID,EXIT_ALL_PREMIUM_STOP
2025-05-05,11:30,-1060.0,0,15,0.4667,MID,EXIT_ALL_PREMIUM_STOP
2025-05-06,10:40,-171.6,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2025-05-16,12:05,927.6,1,15,0.4,MID,TP1_THEN_RUNNER_TIME
2025-05-30,12:05,-1258.4,0,15,0.4667,MID,EXIT_ALL_PREMIUM_STOP
2025-06-03,10:05,-207.2,0,15,0.4667,MID,EXIT_ALL_PREMIUM_STOP
2025-06-05,11:20,-343.2,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2025-06-05,14:05,390.6,1,15,0.4,MID,TP1_THEN_RUNNER_RIBBON
2025-06-05,15:05,1160.0,1,15,0.4,MID,TP1_THEN_RUNNER_TIME
2025-06-09,12:55,-180.8,0,15,0.4667,MID,EXIT_ALL_PREMIUM_STOP
2025-06-09,14:10,-165.6,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2025-06-11,09:40,-236.0,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2025-06-12,14:30,-140.4,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-06-13,14:05,2036.0,1,15,0.3333,LOW,TP1_THEN_RUNNER_TIME
2025-06-17,11:20,126.6,1,15,0.3333,LOW,TP1_THEN_RUNNER_RIBBON
2025-06-20,13:05,-464.0,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-06-25,10:00,-214.4,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-06-26,09:45,-471.68,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-06-30,11:10,-172.8,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-06-30,13:10,-164.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-01,12:50,-152.8,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-01,14:35,-200.8,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-02,13:25,-148.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-07,11:00,127.2,1,15,0.2,LOW,TP1_THEN_RUNNER_RIBBON
2025-07-09,09:45,-443.52,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-09,15:00,-194.4,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-10,13:35,-197.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-10,15:05,-190.4,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-11,10:30,136.8,1,15,0.2,LOW,TP1_THEN_RUNNER_RIBBON
2025-07-14,13:20,-159.2,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-14,14:30,-162.4,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-15,09:45,-485.76,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-16,14:05,-191.2,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-16,15:00,-192.0,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-17,09:40,2028.0,1,15,0.1333,LOW,TP1_THEN_RUNNER_TIME
2025-07-18,09:50,-197.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-21,09:45,804.0,1,15,0.2,LOW,TP1_THEN_RUNNER_RIBBON
2025-07-21,15:30,159.0,1,15,0.2667,LOW,EXIT_ALL_TIME_STOP
2025-07-24,09:45,-165.6,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-25,12:15,772.6,1,15,0.2667,LOW,TP1_THEN_RUNNER_TIME
2025-07-29,10:40,-144.8,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-07-29,14:45,232.6,1,15,0.3333,LOW,TP1_THEN_RUNNER_TIME
2025-07-30,14:35,-216.0,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2025-07-31,11:05,-224.0,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2025-08-06,11:30,-183.2,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-06,14:05,-142.4,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-07,10:30,-201.6,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-08,09:40,3102.2,1,15,0.3333,LOW,TP1_THEN_RUNNER_RIBBON
2025-08-08,12:20,-196.8,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2025-08-08,13:45,-180.8,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2025-08-11,09:40,-252.0,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-11,14:45,-142.2,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-14,13:55,-137.6,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-14,15:20,-196.8,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-15,11:25,-112.8,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-18,11:20,126.6,1,15,0.1333,LOW,TP1_THEN_RUNNER_RIBBON
2025-08-20,09:55,-186.0,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-20,15:25,-148.0,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-22,14:45,-99.6,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-25,10:35,-121.2,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-25,15:25,140.0,1,15,0.1333,LOW,EXIT_ALL_TIME_STOP
2025-08-27,09:40,-245.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-27,11:40,-242.4,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-27,13:15,-173.6,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-08-27,15:20,480.0,1,15,0.1333,LOW,EXIT_ALL_TIME_STOP
2025-09-09,13:55,-153.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-09-09,15:05,-155.2,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-09-11,09:55,1376.0,1,15,0.2,LOW,TP1_THEN_RUNNER_TIME
2025-09-12,11:00,-204.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-09-16,09:50,-180.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-09-18,14:15,-131.4,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-09-22,12:10,1028.6,1,15,0.2,LOW,TP1_THEN_RUNNER_TIME
2025-09-23,09:40,-196.8,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-09-25,10:30,-174.6,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-09-25,12:40,1647.2,1,15,0.2667,LOW,TP1_THEN_RUNNER_TIME
2025-09-26,09:40,-476.96,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-09-26,10:20,-188.8,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-09-26,11:30,-289.2,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-09-30,14:50,-141.6,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-01,09:40,-224.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-01,11:25,1389.8,1,15,0.2,LOW,TP1_THEN_RUNNER_TIME
2025-10-02,09:50,-209.6,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-02,11:30,-151.8,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-02,14:00,358.2,1,15,0.2,LOW,TP1_THEN_RUNNER_TIME
2025-10-03,09:40,-214.4,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-07,09:55,-221.6,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-08,12:20,-171.2,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-08,14:20,-177.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-15,13:05,1578.0,1,15,0.2,LOW,TP1_THEN_RUNNER_RIBBON
2025-10-23,13:40,-186.4,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-24,09:40,-522.72,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-24,14:45,15.0,1,15,0.2,LOW,EXIT_ALL_RIBBON_FLIP_BACK
2025-10-27,09:40,-417.12,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-28,10:00,-184.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-28,11:40,-221.6,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-29,09:40,-392.4,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
