date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-05-11,15:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-11 740P,0,740,P,3,1.86,1.71,,558.0,-44.64,-0.08,EXIT_ALL_PREMIUM_STOP,,trendline_rejection,0.0,0.1836,MID,18.36,POWER_HOUR,10,2,1.03,1.86
2026-05-12,12:45:00,13:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-12 734P,0,734,P,3,1.83,1.83,2.38,549.0,109.8,0.2,TP1_THEN_RUNNER_RIBBON,,trendline_rejection,0.0,0.1864,MID,18.64,MIDDAY,20,4,1.49,2.39
2026-05-13,10:25:00,10:35:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-13 736C,0,736,C,10,2.9,2.67,,2900.0,-232.0,-0.08,EXIT_ALL_PREMIUM_STOP,737.24,level_reclaim|confluence,0.0,0.18,MID,18.0,MORNING,15,3,2.43,3.11
2026-05-13,12:25:00,12:30:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-13 740C,0,740,C,10,2.05,1.89,,2050.0,-164.0,-0.08,EXIT_ALL_PREMIUM_STOP,740.73,level_reclaim|confluence,0.0,0.1804,MID,18.04,MIDDAY,10,2,1.81,2.18
2026-05-14,14:00:00,14:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-14 750P,0,750,P,3,2.45,2.25,,735.0,-58.8,-0.08,EXIT_ALL_PREMIUM_STOP,,trendline_rejection,0.0,0.174,MID,17.4,AFTERNOON,20,4,1.92,3.15
2026-05-15,10:05:00,10:10:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-15 741P,0,741,P,22,2.94,2.7,,6468.0,-517.44,-0.08,EXIT_ALL_PREMIUM_STOP,740.0,level_rejection,0.0,0.1879,MID,18.79,OPEN_DRIVE,10,2,1.78,2.94
2026-05-15,11:50:00,11:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-15 742P,0,742,P,22,2.84,2.61,,6248.0,-499.84,-0.08,EXIT_ALL_PREMIUM_STOP,740.0,level_rejection|trendline_rejection,0.0,0.1846,MID,18.46,MIDDAY,10,2,2.45,3.41
2026-05-15,15:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-15 742P,0,742,P,22,2.04,3.04,,4488.0,2200.0,0.4902,EXIT_ALL_TIME_STOP,740.0,level_rejection,0.0,0.1813,MID,18.13,POWER_HOUR,10,2,1.98,3.12
2026-05-18,10:05:00,10:10:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-18 741P,0,741,P,15,2.58,2.37,,3870.0,-309.6,-0.08,EXIT_ALL_PREMIUM_STOP,740.26,level_rejection|confluence|trendline_rejection,0.0,0.1845,MID,18.45,OPEN_DRIVE,10,2,1.72,2.58
2026-05-19,10:05:00,12:25:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-19 737P,0,737,P,22,3.07,3.07,4.55,6754.0,2072.0,0.3068,TP1_THEN_RUNNER_RIBBON,735.0,level_rejection,0.0,0.182,MID,18.2,OPEN_DRIVE,145,29,2.73,5.61
2026-05-19,11:10:00,11:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-19 735P,0,735,P,10,2.62,2.41,,2620.0,-209.6,-0.08,EXIT_ALL_PREMIUM_STOP,733.39,level_rejection|confluence,0.0,0.1814,MID,18.14,MORNING,10,2,2.1,2.72
2026-05-19,12:10:00,12:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-19 735P,0,735,P,10,2.96,2.72,,2960.0,-236.8,-0.08,EXIT_ALL_PREMIUM_STOP,733.39,level_rejection|confluence,0.0,0.1808,MID,18.08,MIDDAY,10,2,2.08,2.96
2026-05-19,14:00:00,14:15:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-19 735C,0,735,C,10,2.2,2.02,,2200.0,-176.0,-0.08,EXIT_ALL_PREMIUM_STOP,736.4,level_reclaim|confluence,0.0,0.1795,MID,17.95,AFTERNOON,20,4,1.93,2.51
2026-05-20,11:20:00,11:25:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-20 738C,0,738,C,10,3.31,3.05,,3310.0,-264.8,-0.08,EXIT_ALL_PREMIUM_STOP,739.08,level_reclaim|confluence,0.0,0.1761,MID,17.61,MORNING,10,2,2.57,3.31
2026-05-20,12:45:00,12:50:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-20 738C,0,738,C,10,2.9,2.67,,2900.0,-232.0,-0.08,EXIT_ALL_PREMIUM_STOP,739.08,level_reclaim|confluence,0.0,0.1774,MID,17.74,MIDDAY,10,2,2.37,2.9
2026-05-21,10:25:00,10:30:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-21 740P,0,740,P,22,3.27,3.01,,7194.0,-575.52,-0.08,EXIT_ALL_PREMIUM_STOP,738.0,level_rejection|ribbon_flip,0.0,0.177,MID,17.7,MORNING,10,2,2.23,3.27
2026-05-21,11:35:00,11:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-21 740P,0,740,P,15,2.83,2.6,,4245.0,-339.6,-0.08,EXIT_ALL_PREMIUM_STOP,738.85,level_rejection|confluence|trendline_rejection,0.0,0.1743,MID,17.43,MIDDAY,10,2,1.76,2.83
