date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-05-11,15:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-11 740P,0,740,P,3,1.86,1.71,,558.0,-44.64,-0.08,EXIT_ALL_PREMIUM_STOP,,trendline_rejection,0.0,0.1836,MID,18.36,POWER_HOUR,10,2,1.03,1.86
2026-05-12,12:45:00,13:00:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-12 734P,0,734,P,3,1.83,1.83,2.38,549.0,109.8,0.2,TP1_THEN_RUNNER_RIBBON,,trendline_rejection,0.0,0.1864,MID,18.64,MIDDAY,20,4,1.49,2.39
2026-05-13,10:55:00,15:50:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-13 737C,0,737,C,10,2.4,5.48,3.12,2400.0,1664.0,0.6933,TP1_THEN_RUNNER_TIME,738.47,level_reclaim|confluence,0.0,0.1794,MID,17.94,MORNING,300,60,2.22,6.71
2026-05-14,14:00:00,14:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-14 750P,0,750,P,3,2.45,2.25,,735.0,-58.8,-0.08,EXIT_ALL_PREMIUM_STOP,,trendline_rejection,0.0,0.174,MID,17.4,AFTERNOON,20,4,1.92,3.15
2026-05-15,10:30:00,10:35:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-15 743P,0,743,P,22,2.92,2.69,,6424.0,-513.92,-0.08,EXIT_ALL_PREMIUM_STOP,741.93,level_rejection,0.0,0.1871,MID,18.71,MORNING,10,2,2.17,2.92
2026-05-15,15:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-15 742P,0,742,P,22,2.04,3.04,,4488.0,2200.0,0.4902,EXIT_ALL_TIME_STOP,740.0,level_rejection,0.0,0.1813,MID,18.13,POWER_HOUR,10,2,1.98,3.12
2026-05-18,11:05:00,11:10:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-18 739P,0,739,P,10,2.7,2.48,,2700.0,-216.0,-0.08,EXIT_ALL_PREMIUM_STOP,739.0,level_rejection|confluence,0.0,0.1865,MID,18.65,MORNING,10,2,2.46,3.15
2026-05-19,10:05:00,12:25:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-19 737P,0,737,P,22,3.07,3.07,4.55,6754.0,2072.0,0.3068,TP1_THEN_RUNNER_RIBBON,735.0,level_rejection,0.0,0.182,MID,18.2,OPEN_DRIVE,145,29,2.73,5.61
2026-05-19,14:00:00,14:15:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-19 735C,0,735,C,10,2.2,2.02,,2200.0,-176.0,-0.08,EXIT_ALL_PREMIUM_STOP,736.4,level_reclaim|confluence,0.0,0.1795,MID,17.95,AFTERNOON,20,4,1.93,2.51
2026-05-20,11:20:00,11:25:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-20 738C,0,738,C,10,3.31,3.05,,3310.0,-264.8,-0.08,EXIT_ALL_PREMIUM_STOP,739.08,level_reclaim|confluence,0.0,0.1761,MID,17.61,MORNING,10,2,2.57,3.31
2026-05-20,12:45:00,12:50:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-20 738C,0,738,C,10,2.9,2.67,,2900.0,-232.0,-0.08,EXIT_ALL_PREMIUM_STOP,739.08,level_reclaim|confluence,0.0,0.1774,MID,17.74,MIDDAY,10,2,2.37,2.9
2026-05-21,10:25:00,10:30:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-21 740P,0,740,P,22,3.27,3.01,,7194.0,-575.52,-0.08,EXIT_ALL_PREMIUM_STOP,738.0,level_rejection|ribbon_flip,0.0,0.177,MID,17.7,MORNING,10,2,2.23,3.27
2026-05-21,11:35:00,11:40:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-21 740P,0,740,P,15,2.83,2.6,,4245.0,-339.6,-0.08,EXIT_ALL_PREMIUM_STOP,738.85,level_rejection|confluence|trendline_rejection,0.0,0.1743,MID,17.43,MIDDAY,10,2,1.76,2.83
2026-05-21,13:25:00,14:45:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-21 740C,0,740,C,15,2.48,2.48,3.22,3720.0,744.0,0.2,TP1_THEN_RUNNER_RIBBON,741.3,level_reclaim|ribbon_flip|confluence,0.0,0.1696,MID,16.96,MIDDAY,85,17,2.38,4.95
2026-05-22,12:30:00,12:35:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-22 745C,0,745,C,22,2.77,2.55,,6094.0,-487.52,-0.08,EXIT_ALL_PREMIUM_STOP,747.0,level_reclaim,0.0,0.1656,MID,16.56,MIDDAY,10,2,2.36,2.77
2026-05-22,13:00:00,13:05:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-22 749P,0,749,P,3,2.02,1.86,,606.0,-48.48,-0.08,EXIT_ALL_PREMIUM_STOP,,trendline_rejection,0.0,0.1651,MID,16.51,MIDDAY,10,2,1.65,2.02
2026-05-22,15:50:00,15:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-22 747P,0,747,P,20,1.71,1.57,,3420.0,-273.6,-0.08,EXIT_ALL_PREMIUM_STOP,,trendline_rejection,0.0,0.1689,MID,16.89,POWER_HOUR,10,2,0.87,1.71
