date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,tp1_px,premium_paid,dollar_pnl,pct_return_on_premium,exit_reason,rejection_level,triggers_fired,delta_at_entry,iv_at_entry,iv_regime,vix_at_entry,tod_bucket,hold_minutes,bars_held,max_adverse_premium,max_favorable_premium
2026-05-11,15:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-11 740P,0,740,P,3,1.86,1.71,,558.0,-44.64,-0.08,EXIT_ALL_PREMIUM_STOP,,trendline_rejection,0.0,0.1836,MID,18.36,POWER_HOUR,10,2,1.03,1.86
2026-05-12,10:10:00,10:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-12 737P,0,737,P,22,2.33,2.14,,5126.0,-410.08,-0.08,EXIT_ALL_PREMIUM_STOP,735.53,level_rejection,0.0,0.1889,MID,18.89,OPEN_DRIVE,10,2,1.59,2.33
2026-05-12,13:25:00,13:30:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-12 736P,0,736,P,10,1.9,1.75,,1900.0,-152.0,-0.08,EXIT_ALL_PREMIUM_STOP,734.6,level_rejection|confluence,0.0,0.1821,MID,18.21,MIDDAY,10,2,1.55,2.11
2026-05-12,15:15:00,15:20:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-12 735C,0,735,C,10,2.17,2.0,,2170.0,-173.6,-0.08,EXIT_ALL_PREMIUM_STOP,736.52,level_reclaim|confluence,0.0,0.1794,MID,17.94,POWER_HOUR,10,2,1.66,2.17
2026-05-13,10:05:00,15:50:00,BULLISH_RECLAIM_RIDE_THE_RIBBON,SPY 2026-05-13 735C,0,735,C,10,2.83,7.52,3.68,2830.0,2385.4,0.8429,TP1_THEN_RUNNER_TIME,737.0,level_reclaim|confluence,0.0,0.1814,MID,18.14,OPEN_DRIVE,350,70,2.71,8.78
2026-05-14,14:00:00,14:15:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-14 750P,0,750,P,3,2.45,2.25,,735.0,-58.8,-0.08,EXIT_ALL_PREMIUM_STOP,,trendline_rejection,0.0,0.174,MID,17.4,AFTERNOON,20,4,1.92,3.15
2026-05-15,10:05:00,10:10:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-15 741P,0,741,P,22,2.94,2.7,,6468.0,-517.44,-0.08,EXIT_ALL_PREMIUM_STOP,740.0,level_rejection,0.0,0.1879,MID,18.79,OPEN_DRIVE,10,2,1.78,2.94
2026-05-15,11:50:00,11:55:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-15 742P,0,742,P,22,2.84,2.61,,6248.0,-499.84,-0.08,EXIT_ALL_PREMIUM_STOP,740.0,level_rejection|trendline_rejection,0.0,0.1846,MID,18.46,MIDDAY,10,2,2.45,3.41
2026-05-15,15:45:00,15:50:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-15 742P,0,742,P,22,2.04,3.04,,4488.0,2200.0,0.4902,EXIT_ALL_TIME_STOP,740.0,level_rejection,0.0,0.1813,MID,18.13,POWER_HOUR,10,2,1.98,3.12
2026-05-18,10:05:00,10:10:00,BEARISH_REJECTION_RIDE_THE_RIBBON,SPY 2026-05-18 741P,0,741,P,15,2.58,2.37,,3870.0,-309.6,-0.08,EXIT_ALL_PREMIUM_STOP,740.26,level_rejection|confluence|trendline_rejection,0.0,0.1845,MID,18.45,OPEN_DRIVE,10,2,1.72,2.58
