date,time_entry,side,trendline_direction,slope_usd_per_hour,trendline_price_at_break,retest_level,retest_bar_low,retest_bar_high,retest_bar_close,entry_premium,exit_premium_avg,tp1_premium,runner_exit_premium,qty,dollar_pnl,exit_reason,hold_minutes,setup
2026-04-09,11:15,C,descending,-0.2319,675.44,675.7999877929688,675.7000122070312,676.469970703125,676.4199829101562,2.79,2.57,,2.57,3,-66.96,ExitReason.EXIT_ALL_PREMIUM_STOP,10,TRENDLINE_BREAK_RETEST
2026-04-10,11:25,C,ascending,0.1036,681.84,681.1599731445312,681.1500244140625,681.9500122070312,681.239990234375,2.66,2.45,,2.45,3,-63.84,ExitReason.EXIT_ALL_PREMIUM_STOP,10,TRENDLINE_BREAK_RETEST
2026-04-14,13:20,C,ascending,0.4976,693.52,693.739990234375,693.6699829101562,694.0599975585938,693.9099731445312,2.11,1.94,,1.94,3,-50.64,ExitReason.EXIT_ALL_PREMIUM_STOP,10,TRENDLINE_BREAK_RETEST
2026-04-15,12:05,P,ascending,0.9709,697.22,697.5599975585938,696.9299926757812,697.469970703125,697.4299926757812,0.86,0.88,,0.88,3,4.85,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-16,13:00,P,ascending,0.16,700.89,700.85,700.469970703125,700.8900146484375,700.5999755859375,1.15,1.13,,1.13,3,-6.54,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-17,11:45,P,ascending,0.3994,710.49,711.3499755859375,710.4299926757812,711.25,710.7999877929688,1.21,1.06,,1.06,3,-44.84,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-22,11:10,C,ascending,0.1411,709.54,709.74,709.75,710.1679077148438,709.8400268554688,2.5,2.3,,2.3,3,-60.0,ExitReason.EXIT_ALL_PREMIUM_STOP,25,TRENDLINE_BREAK_RETEST
2026-04-22,12:05,C,ascending,0.1411,709.67,709.74,709.8300170898438,710.1199951171875,709.969970703125,2.46,2.26,,2.26,3,-59.04,ExitReason.EXIT_ALL_PREMIUM_STOP,10,TRENDLINE_BREAK_RETEST
2026-04-22,13:45,C,descending,-0.1569,710.18,709.74,709.8200073242188,710.4199829101562,710.1900024414062,2.4,2.21,,2.21,3,-57.6,ExitReason.EXIT_ALL_PREMIUM_STOP,10,TRENDLINE_BREAK_RETEST
2026-04-23,11:50,P,ascending,0.0847,711.51,711.2,710.7100219726562,711.2449951171875,710.780029296875,1.3,1.13,,1.13,3,-52.05,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-24,12:35,C,ascending,2.0228,713.5,713.38,713.3599853515625,713.72998046875,713.469970703125,2.78,2.56,,2.56,3,-66.72,ExitReason.EXIT_ALL_PREMIUM_STOP,10,TRENDLINE_BREAK_RETEST
2026-04-24,13:15,P,ascending,1.0703,713.39,713.38,713.0399780273438,713.3699951171875,713.0750122070312,0.91,0.87,,0.87,3,-12.61,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-27,12:25,P,descending,-0.1663,713.97,713.97998046875,713.7899780273438,714.0090942382812,713.8599853515625,1.16,1.0,,1.0,3,-47.54,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-29,11:15,P,descending,-0.0562,710.95,710.786,710.10498046875,710.869873046875,710.6699829101562,1.35,1.26,,1.26,3,-26.8,ExitReason.EXIT_ALL_LEVEL_STOP,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-04-30,10:50,C,ascending,0.0754,711.53,712.6,712.6799926757812,713.9000244140625,713.6900024414062,2.65,2.44,,2.44,3,-63.6,ExitReason.EXIT_ALL_PREMIUM_STOP,55,TRENDLINE_BREAK_RETEST
2026-04-30,12:30,P,ascending,1.416,715.23,715.3900146484375,715.02001953125,715.3300170898438,715.0499877929688,0.99,0.92,,0.92,3,-20.88,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-05-06,10:15,C,ascending,0.3171,729.81,729.5,729.5700073242188,730.260009765625,729.739990234375,2.44,4.28,3.17,6.49,3,551.4,ExitReason.TP1_THEN_RUNNER_TIME,335,TRENDLINE_BREAK_RETEST
2026-05-06,11:40,P,ascending,2.2875,732.14,731.7,730.9400024414062,731.7100219726562,731.3300170898438,0.9,0.8,,0.8,3,-30.11,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-05-06,12:35,P,ascending,0.3635,731.83,731.7,731.47998046875,731.7603759765625,731.6701049804688,1.12,1.16,,1.16,3,11.01,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST::BS_FALLBACK
2026-05-06,13:50,C,descending,-0.3221,731.65,731.7,731.7999877929688,732.0499877929688,731.97998046875,2.11,3.31,2.74,4.45,3,360.6,ExitReason.TP1_THEN_RUNNER_TIME,120,TRENDLINE_BREAK_RETEST
