bar_idx,timestamp_et,direction,side,trendline_slope_per_hour,trendline_price_at_break,break_bar_close,retest_bar_idx,retest_level,retest_bar_low,retest_bar_high,retest_bar_close
487,2026-04-16 11:05:00-04:00,ascending,C,0.14842006138392858,700.307878766741,700.5399780273438,487,700.280029296875,700.3099975585938,701.1300048828125,700.97998046875
510,2026-04-16 13:00:00-04:00,ascending,P,0.15999857584635416,700.886637793647,700.8099975585938,510,700.85,700.469970703125,700.8900146484375,700.5999755859375
519,2026-04-16 13:45:00-04:00,ascending,C,0.15999857584635416,701.0066367255317,701.3699951171875,519,701.2,701.1699829101562,701.530029296875,701.4749755859375
553,2026-04-17 10:05:00-04:00,ascending,C,0.42362940588662795,708.6778734783794,708.85498046875,553,708.79,708.7899780273438,709.1593017578125,709.1400146484375
752,2026-04-21 13:40:00-04:00,descending,C,-0.08793962505501761,706.2574787408533,706.3250122070312,752,706.14,706.1900024414062,707.4099731445312,706.5
808,2026-04-22 11:50:00-04:00,ascending,P,0.1411023370150862,709.6187901990168,709.280029296875,808,709.74,709.4749755859375,709.7999877929688,709.6799926757812
822,2026-04-22 13:00:00-04:00,ascending,P,0.20697447311046513,709.3841954904009,709.27001953125,822,709.74,708.8900146484375,709.719970703125,709.6099853515625
886,2026-04-23 11:50:00-04:00,ascending,P,0.08474288823950382,711.5063853955451,711.239990234375,886,711.2,710.7100219726562,711.2449951171875,710.780029296875
1586,2026-05-06 11:40:00-04:00,ascending,P,0.3634524997189748,731.5314434243621,731.4749755859375,1586,731.7,730.9400024414062,731.7100219726562,731.3300170898438
1597,2026-05-06 12:35:00-04:00,ascending,P,0.3634524997189748,731.8343205074613,731.77001953125,1597,731.7,731.47998046875,731.7603759765625,731.6701049804688
