tier,tod,dur_min,n,median_pct_decay,mean_pct_decay,median_entry_premium,median_dollar_decay
ATM,AM,10,3141,-0.02824858757062154,-0.016463810808140366,1.29,-0.039999999999999813
ATM,AM,30,2433,-0.08152173913043481,-0.06130181958037631,1.25,-0.10000000000000009
ATM,AM,60,1926,-0.1398171821616852,-0.12065106908650962,1.23,-0.17999999999999994
ATM,AM,90,1633,-0.18974358974358974,-0.1718638819693527,1.25,-0.25
ATM,PM,10,5532,-0.042092740710742094,-0.020665499371628645,0.78,-0.030000000000000027
ATM,PM,30,4641,-0.12637362637362637,-0.08304767992355387,0.74,-0.08999999999999997
ATM,PM,60,3922,-0.25503718728870856,-0.19630510810793278,0.72,-0.17999999999999994
ATM,PM,90,2847,-0.36363636363636354,-0.28754337577837036,0.73,-0.26
ITM-1,AM,10,3143,-0.019736842105263164,-0.012640958049852874,1.88,-0.040000000000000036
ITM-1,AM,30,2441,-0.05555555555555547,-0.04256627721100455,1.84,-0.10999999999999988
ITM-1,AM,60,1919,-0.09745762711864403,-0.08080442078691548,1.82,-0.17999999999999994
ITM-1,AM,90,1628,-0.12583365603889674,-0.11456312266647342,1.84,-0.2400000000000002
ITM-1,PM,10,5503,-0.01980198019801982,-0.011198297497418895,1.43,-0.030000000000000027
ITM-1,PM,30,4624,-0.05385193738084365,-0.04136304542988518,1.4,-0.07999999999999985
ITM-1,PM,60,3916,-0.10617990932951571,-0.09068145712840812,1.39,-0.15000000000000013
ITM-1,PM,90,2842,-0.15999999999999998,-0.1304374619982451,1.4,-0.22499999999999998
ITM-2,AM,10,3012,-0.015384842971049861,-0.011485870040588762,2.59,-0.040000000000000036
ITM-2,AM,30,2346,-0.041028638223261304,-0.03137584183964442,2.56,-0.10000000000000009
ITM-2,AM,60,1857,-0.059523809523809534,-0.05256123655666046,2.55,-0.15000000000000036
ITM-2,AM,90,1583,-0.07964601769911495,-0.07250577548726257,2.56,-0.2200000000000002
ITM-2,PM,10,5415,-0.009661835748792313,-0.006839253137331133,2.24,-0.020000000000000018
ITM-2,PM,30,4575,-0.022900763358778664,-0.020740708340593012,2.22,-0.050000000000000266
ITM-2,PM,60,3883,-0.04371584699453557,-0.040253880774349625,2.22,-0.10000000000000009
ITM-2,PM,90,2824,-0.06469854302503425,-0.057142040117655515,2.22,-0.1499999999999999
OTM-1,AM,10,3138,-0.03960784313725496,-0.02156523694153334,0.86,-0.030000000000000027
OTM-1,AM,30,2438,-0.1143717728055077,-0.08568830410210464,0.81,-0.09000000000000001
OTM-1,AM,60,1918,-0.19512195121951215,-0.17091183902215115,0.795,-0.15500000000000003
OTM-1,AM,90,1631,-0.26595744680851063,-0.24240043730434918,0.81,-0.20999999999999996
OTM-1,PM,10,5477,-0.07407407407407418,-0.034077234182144416,0.38,-0.020000000000000004
OTM-1,PM,30,4599,-0.20930232558139528,-0.1422253428707822,0.34,-0.06
OTM-1,PM,60,3893,-0.42647058823529416,-0.33724024063419994,0.33,-0.11000000000000001
OTM-1,PM,90,2830,-0.5819064656273958,-0.4783070780033133,0.34,-0.17
OTM-2,AM,10,2999,-0.04615384615384621,-0.02549534801329646,0.56,-0.020000000000000018
OTM-2,AM,30,2335,-0.14,-0.11171255240229042,0.51,-0.06000000000000005
OTM-2,AM,60,1849,-0.24637681159420277,-0.2252194123953213,0.5,-0.11000000000000001
OTM-2,AM,90,1579,-0.33333333333333337,-0.31199194822678195,0.51,-0.15999999999999998
OTM-2,PM,10,4885,-0.09411764705882353,-0.05019860746626811,0.19,-0.010000000000000009
OTM-2,PM,30,4064,-0.2500000000000001,-0.1989084610333268,0.18,-0.039999999999999994
OTM-2,PM,60,3425,-0.5,-0.42716079170389726,0.17,-0.07
OTM-2,PM,90,2538,-0.6666666666666666,-0.5831042826999566,0.17,-0.1
OTM-3,AM,10,2737,-0.050000000000000044,-0.03205035969899128,0.36,-0.010000000000000009
OTM-3,AM,30,2123,-0.16000000000000003,-0.13445604279243945,0.32,-0.04000000000000001
OTM-3,AM,60,1700,-0.29166666666666663,-0.26764875299672136,0.32,-0.07499999999999996
OTM-3,AM,90,1458,-0.3928571428571429,-0.36436344909322865,0.33,-0.10999999999999999
OTM-3,PM,10,3776,-0.10000000000000009,-0.06207183252154753,0.13,-0.010000000000000002
OTM-3,PM,30,3072,-0.2857142857142857,-0.2337706773096242,0.12,-0.03
OTM-3,PM,60,2586,-0.5,-0.46734375487001506,0.12,-0.05
OTM-3,PM,90,1963,-0.6666666666666666,-0.6212574115077415,0.12,-0.07
