tier,tod,dur_min,n,median_pct_decay,mean_pct_decay,median_entry_premium,median_dollar_decay
ATM,AM,10,1548,-0.028478537913456503,-0.026677700558181836,1.21,-0.039999999999999813
ATM,AM,30,916,-0.08262666187567369,-0.07968676938463375,1.2,-0.10000000000000009
ATM,AM,60,658,-0.14451908396946556,-0.1413231169186853,1.24,-0.17999999999999994
ATM,AM,90,569,-0.19548872180451127,-0.19242648052838726,1.25,-0.2400000000000001
ATM,PM,10,3550,-0.042360933094078346,-0.03688002206595257,0.7,-0.030000000000000027
ATM,PM,30,2266,-0.1266714209306472,-0.12172524966131784,0.68,-0.08499999999999996
ATM,PM,60,1596,-0.2518903860367274,-0.25894564185188657,0.67,-0.16999999999999998
ATM,PM,90,1160,-0.36230267673301303,-0.3600135836087409,0.73,-0.25
ITM-1,AM,10,1552,-0.01830385062092371,-0.01708189832187133,1.81,-0.030000000000000138
ITM-1,AM,30,924,-0.05262031816351187,-0.0504670075637262,1.8,-0.10000000000000009
ITM-1,AM,60,658,-0.09686301705148076,-0.09160580929362051,1.8250000000000002,-0.16999999999999993
ITM-1,AM,90,563,-0.1260162601626017,-0.12215704918957479,1.84,-0.22999999999999998
ITM-1,PM,10,3543,-0.01935483870967747,-0.016854548330671723,1.37,-0.029999999999999916
ITM-1,PM,30,2262,-0.053005217740317134,-0.05096571876744483,1.35,-0.07000000000000017
ITM-1,PM,60,1593,-0.10344827586206884,-0.09911531971431506,1.35,-0.14000000000000012
ITM-1,PM,90,1158,-0.15528820729772602,-0.1450321993399761,1.4,-0.20999999999999996
ITM-2,AM,10,1495,-0.013289036544850363,-0.011459806034992708,2.54,-0.03000000000000025
ITM-2,AM,30,892,-0.032439819348426546,-0.03086057433174367,2.54,-0.08999999999999986
ITM-2,AM,60,638,-0.05429975429975431,-0.05452288037039575,2.54,-0.1399999999999999
ITM-2,AM,90,550,-0.07493838330265506,-0.0714033715295424,2.56,-0.19999999999999984
ITM-2,PM,10,3504,-0.009084157394545378,-0.007759977582150547,2.205,-0.020000000000000018
ITM-2,PM,30,2252,-0.02135991726739056,-0.021034549388635047,2.2,-0.04999999999999982
ITM-2,PM,60,1577,-0.04017857142857151,-0.03786513619950575,2.2,-0.0900000000000003
ITM-2,PM,90,1152,-0.05870046763475262,-0.05733964693947624,2.22,-0.13000000000000034
OTM-1,AM,10,1547,-0.04109589041095896,-0.03843167419891141,0.79,-0.030000000000000027
OTM-1,AM,30,923,-0.11764705882352944,-0.11577692789954538,0.78,-0.09000000000000002
OTM-1,AM,60,656,-0.20492950704929508,-0.20091139258112894,0.8,-0.15999999999999992
OTM-1,AM,90,566,-0.28097587719298245,-0.27401209698256707,0.81,-0.21999999999999997
OTM-1,PM,10,3520,-0.07435046987285804,-0.06450790247637612,0.31,-0.020000000000000018
OTM-1,PM,30,2244,-0.2142857142857143,-0.21429434538700584,0.3,-0.06
OTM-1,PM,60,1574,-0.42163742690058476,-0.4295166194335294,0.29,-0.12
OTM-1,PM,90,1152,-0.5656275635767023,-0.5643958310326675,0.33,-0.18
OTM-2,AM,10,1483,-0.04950495049504955,-0.049357763070082855,0.49,-0.020000000000000018
OTM-2,AM,30,890,-0.15000000000000002,-0.1528899240705927,0.48,-0.07
OTM-2,AM,60,636,-0.2616103522645579,-0.2606745691059902,0.5,-0.12
OTM-2,AM,90,553,-0.3555555555555556,-0.3468113531269529,0.52,-0.16000000000000003
OTM-2,PM,10,3054,-0.09999999999999987,-0.08895056937168334,0.16,-0.010000000000000009
OTM-2,PM,30,1924,-0.26086956521739124,-0.2647922517121521,0.15,-0.039999999999999994
OTM-2,PM,60,1334,-0.5,-0.48979043390157434,0.15,-0.07
OTM-2,PM,90,1017,-0.6521739130434783,-0.629846925451194,0.17,-0.11
OTM-3,AM,10,1346,-0.0559027777777778,-0.05790793127110479,0.31,-0.010000000000000009
OTM-3,AM,30,807,-0.18181818181818188,-0.1797207108246645,0.31,-0.04999999999999999
OTM-3,AM,60,580,-0.30434782608695654,-0.3008565033897997,0.32,-0.08000000000000002
OTM-3,AM,90,512,-0.4,-0.391951918626279,0.33,-0.11000000000000001
OTM-3,PM,10,2262,-0.11111111111111105,-0.0965567517389296,0.11,-0.010000000000000002
OTM-3,PM,30,1407,-0.2857142857142857,-0.2746219724075926,0.11,-0.03
OTM-3,PM,60,992,-0.5,-0.4993516111957507,0.1,-0.05
OTM-3,PM,90,795,-0.6666666666666666,-0.6490484651088457,0.12,-0.07999999999999999
