nearest_level,wick_favor,level_sweep_favor,hold_bars,structure_align,event_recency,body_favor,vwap_streak,touch_count,ribbon_slope_favor,abs_level_dist,episode_id,entry_ts,bias,pnl,qty,spy_entry,spy_exit,dir_ok,year,is_test
PDH,0.0,0.0,6.0,1.0,0.0,0.6744186046511567,-5.0,4.0,-0.005921905656158799,0.07561615350079043,13,2021-06-09 10:52:05,bear,-42.99999999999999,4,422.87,422.74,1,2021,False
PDH,0.0,0.0,0.0,-1.0,-0.06666666666666667,-0.7037037037037427,-1.0,10.0,0.005257236834432799,0.09687175125223657,26,2021-06-10 15:14:20,bear,-33.0,1,423.65,423.54,1,2021,False
PDL,0.0,0.0,0.0,-1.0,-0.25,-0.9750000000000213,-7.0,1.0,-0.03941497059646304,0.018887524789867882,31,2021-06-16 12:27:19,bull,-83.0,1,423.48,422.04,0,2021,False
PDL,0.06521739130429141,0.0,0.0,0.0,0.0,0.8695652173914171,1.0,0.0,0.08257367242788805,0.5198521521402211,34,2021-06-18 10:40:27,bull,-32.0,1,417.17,416.04,0,2021,False
PDH,0.8387096774191656,0.0,6.0,0.0,0.0,0.16129032258083445,6.0,5.0,0.024163048619785243,0.08409944471325925,40,2021-07-07 10:22:19,bear,20.0,2,433.645,433.45,1,2021,False
PDH,0.0588235294117057,0.0,0.0,0.0,0.0,0.5882352941177257,-12.0,5.0,0.016521623398868535,0.15144909245277116,42,2021-07-12 11:28:35,bear,61.999999999999964,10,436.45,436.37,1,2021,False
PDH,0.0,0.0,6.0,1.0,1.0,1.0,10.0,1.0,0.013124282181897762,0.5742142639510561,43,2021-07-20 10:23:10,bull,-14.000000000000002,1,429.12,429.0,0,2021,False
PDH,0.3750000000000222,0.0,4.0,0.0,0.0,0.3593750000000361,4.0,1.0,0.06587643584869962,0.18154066742210873,47,2021-07-21 09:51:33,bull,27.99999999999998,2,433.195,433.38,1,2021,False
PDH,0.29411764705886284,0.0,6.0,0.0,0.0,0.2352941176468228,9.0,1.0,0.0035063499490339822,0.2590134363219976,48,2021-07-21 10:17:46,bull,-87.00000000000003,4,433.53,433.63,1,2021,False
PDH,0.1388888888889152,0.0,0.0,0.0,0.0,0.6944444444444181,1.0,0.0,-0.059430486376621516,0.294624240775998,66,2021-08-04 09:52:12,bull,-55.00000000000001,3,439.94,439.01,0,2021,False
PDH,0.3030303030302143,0.0,6.0,0.0,0.0,0.15151515151519326,6.0,1.0,0.1037545625588221,0.36738160968359246,119,2021-11-22 10:02:33,bull,-110.0,10,472.63,471.83,0,2021,False
PDL,0.0249999999999775,0.0,0.0,1.0,0.16666666666666666,0.37499999999999406,12.0,0.0,0.0050795319714302956,0.34416910915711085,140,2021-12-03 11:11:55,bear,51.0,1,451.91,450.48,1,2021,False
PDC,0.10227272727276397,0.0,0.0,-1.0,-0.5,-0.7386363636363417,-7.0,10.0,-0.0325495062474368,0.2615900403596161,155,2021-12-08 11:03:00,bull,21.0,1,467.065,467.9,1,2021,False
PDC,0.12328767123284898,0.0,0.0,1.0,0.5,-0.6575342465754022,-12.0,10.0,0.03093146477383124,0.42925751200645346,212,2021-12-16 13:58:57,bull,-73.0,1,468.56,463.26,0,2021,False
PDL,0.0,0.0,0.0,0.0,0.0,-0.8275862068965162,-5.0,0.0,0.06169612798867519,1.1613945466850017,217,2021-12-20 10:29:03,bull,-88.00000000000001,2,452.75,452.36,0,2021,False
PDC,0.06451612903226003,1.0,3.0,0.0,0.0,-0.1935483870967801,11.0,10.0,0.04814681362061979,0.12166488794023156,274,2022-01-06 11:20:21,bull,-5.0,1,469.07,468.86,0,2022,False
PDL,0.018348623853194742,0.0,0.0,-1.0,-0.3333333333333333,0.7247706422018703,-12.0,0.0,0.05309321734967565,1.5493867010974771,280,2022-01-10 10:59:09,bull,144.0,4,457.5,458.99,1,2022,False
PDC,0.0,0.0,0.0,0.0,0.0,-0.41228070175441484,2.0,1.0,0.023046736543563817,0.34796056446936285,286,2022-01-11 10:13:13,bull,-17.999999999999993,2,463.95,464.22,1,2022,False
PDH,0.3882352941176439,0.0,6.0,0.0,0.0,0.6117647058823561,5.0,0.0,0.03440100460172513,0.6597850377780157,290,2022-01-12 10:13:00,bull,-59.99999999999999,3,472.95,472.66,0,2022,False
PDC,0.1499999999999929,1.0,1.0,1.0,0.25,0.7749999999999396,3.0,7.0,0.07833826854724002,0.036085756739545616,293,2022-01-13 11:40:44,bull,-46.0,1,471.27,470.91,0,2022,False
PDL,0.2083333333333728,0.0,6.0,1.0,0.125,-0.6874999999999408,12.0,3.0,0.011223765440693256,0.38167125098617083,295,2022-01-13 14:59:28,bear,92.0,1,467.2,464.48,1,2022,False
PDL,0.08928571428573423,0.0,0.0,0.0,0.0,-0.0982142857142975,3.0,0.0,-0.003322550810591629,0.14025245441794398,298,2022-01-14 09:52:25,bull,-100.0,10,462.8,463.23,1,2022,False
PDL,0.21052631578943432,0.0,0.0,-1.0,-0.06666666666666667,0.2894736842105657,-2.0,8.0,0.003364544522765911,0.19635343618512602,300,2022-01-14 12:24:28,bull,-0.9999999999999996,1,462.54,460.91,0,2022,False
PDL,0.4405940594059378,0.0,6.0,0.0,0.0,0.5594059405940622,1.0,1.0,-0.02631528093610669,0.3109236388937231,304,2022-01-18 10:15:28,bear,15.999999999999991,2,458.49,458.36,1,2022,False
PDL,0.02777777777783041,0.0,0.0,1.0,0.25,0.6388888888888362,-12.0,1.0,0.034167496562420574,0.6196729866063677,307,2022-01-18 14:04:06,bull,-38.0,2,457.07,456.5,0,2022,False
PDC,0.26470588235294856,0.0,6.0,0.0,0.0,-0.38235294117645335,11.0,4.0,0.013768402781066946,0.03943044906900006,309,2022-01-19 11:04:54,bear,-68.00000000000001,2,456.32,456.07,1,2022,False
PDL,0.003937007874012224,0.0,6.0,0.0,0.0,0.7362204724409572,8.0,2.0,0.010756845587012176,0.9691333818833692,317,2022-01-21 10:16:18,bear,-9.0,1,441.95,442.42,0,2022,False
PDL,0.0416666666666542,0.0,0.0,0.0,0.0,-0.4057017543859748,-5.0,0.0,-0.15454680519831898,2.241021074502836,319,2022-01-24 10:09:34,bull,-10.0,1,428.155,429.07,1,2022,False
PDH,0.012383900928798836,0.0,6.0,1.0,1.0,0.6099071207430391,8.0,8.0,0.06464907206084058,0.7004616679175069,324,2022-01-26 14:08:44,bull,-103.0,7,442.79,437.57,0,2022,False
PDL,0.20645161290319078,0.0,0.0,1.0,1.0,0.7935483870968092,5.0,0.0,0.13453947192241245,0.12029311790933139,334,2022-02-03 10:31:47,bull,-4.000000000000004,1,452.515,452.44,0,2022,False
