c,h,l,n,o,t,v,vw
422.15,422.15,422.15,1,422.15,2021-06-01T12:10:00Z,290,422.15
422.23,422.23,422.23,3,422.23,2021-06-01T12:15:00Z,238,422.23
422.19,422.19,422.19,1,422.19,2021-06-01T13:10:00Z,100,422.19
422.24,422.24,422.24,1,422.24,2021-06-01T13:15:00Z,500,422.24
422.34,422.35,422.34,12,422.35,2021-06-01T13:25:00Z,3000,422.343426
422.42,422.69,422.345,276,422.58,2021-06-01T13:30:00Z,46610,422.529583
421.675,422.44,421.635,188,422.38,2021-06-01T13:35:00Z,47898,421.986667
421.595,421.82,421.55,173,421.74,2021-06-01T13:40:00Z,22792,421.705203
421.33,421.64,421.33,42,421.62,2021-06-01T13:45:00Z,3618,421.528594
421.23,421.38,421.11,65,421.31,2021-06-01T13:50:00Z,6939,421.205643
421.31,421.39,421.045,71,421.23,2021-06-01T13:55:00Z,7654,421.217966
421.12,421.51,421.12,67,421.3,2021-06-01T14:00:00Z,8078,421.390412
421.19,421.255,420.97,58,421.04,2021-06-01T14:05:00Z,4299,421.171531
420.53,421.15,420.53,107,421.15,2021-06-01T14:10:00Z,12933,420.808753
420.33,420.395,420.05,105,420.395,2021-06-01T14:15:00Z,15695,420.198567
420.37,420.37,420.0,102,420.25,2021-06-01T14:20:00Z,13414,420.204122
420.445,420.445,420.17,71,420.355,2021-06-01T14:25:00Z,6285,420.323863
420.59,420.665,420.35,115,420.4,2021-06-01T14:30:00Z,15290,420.502182
420.18,420.635,420.145,89,420.62,2021-06-01T14:35:00Z,8630,420.348872
420.49,420.6,420.34,50,420.34,2021-06-01T14:40:00Z,4626,420.51236
419.88,420.24,419.805,92,420.24,2021-06-01T14:45:00Z,14964,419.905974
419.66,419.95,419.59,53,419.92,2021-06-01T14:50:00Z,8105,419.733432
419.83,419.84,419.465,53,419.68,2021-06-01T14:55:00Z,7276,419.623375
419.76,419.93,419.7,49,419.79,2021-06-01T15:00:00Z,5133,419.823238
