c,h,l,n,o,t,v,vw
419.63,422.69,419.22,6269,422.58,2021-06-01T04:00:00Z,680862,420.42044
420.32,421.185,419.3,6446,420.27,2021-06-02T04:00:00Z,628822,420.130178
418.77,419.99,416.33,6307,418.05,2021-06-03T04:00:00Z,771761,418.634693
422.59,422.915,420.72,10189,420.77,2021-06-04T04:00:00Z,910318,422.119142
422.22,422.765,421.2,9535,422.63,2021-06-07T04:00:00Z,991984,421.83126
422.26,423.19,420.425,5708,423.18,2021-06-08T04:00:00Z,625795,422.171278
421.58,423.24,421.45,4919,423.18,2021-06-09T04:00:00Z,472970,422.417458
423.54,424.62,421.64,5527,422.98,2021-06-10T04:00:00Z,588662,423.599386
424.38,424.4,422.845,5009,424.2,2021-06-11T04:00:00Z,527131,423.593951
425.29,425.29,423.1,6329,424.43,2021-06-14T04:00:00Z,646111,423.723156
424.51,425.45,423.56,6146,425.45,2021-06-15T04:00:00Z,570633,424.364749
422.04,424.83,419.97,7025,424.7,2021-06-16T04:00:00Z,855307,422.345408
422.02,423.0,419.35,10067,421.64,2021-06-17T04:00:00Z,1092378,421.926271
414.96,417.82,414.73,11986,417.07,2021-06-18T04:00:00Z,1353018,416.529276
420.76,421.05,415.965,10379,416.83,2021-06-21T04:00:00Z,1152420,419.718198
423.02,423.97,420.17,7159,420.86,2021-06-22T04:00:00Z,897093,422.448429
422.64,424.03,422.55,5632,423.19,2021-06-23T04:00:00Z,771762,423.269164
425.05,425.55,424.63,6833,424.87,2021-06-24T04:00:00Z,843012,425.136066
426.61,427.08,425.59,8939,425.9,2021-06-25T04:00:00Z,1160440,426.314154
427.47,427.64,425.89,7440,427.17,2021-06-28T04:00:00Z,781623,426.78568
427.69,428.56,427.16,6190,427.94,2021-06-29T04:00:00Z,727546,427.792406
428.06,428.69,427.21,7693,427.21,2021-06-30T04:00:00Z,848270,427.978234
430.47,430.6,428.82,9231,428.88,2021-07-01T04:00:00Z,1015595,429.904339
433.82,434.095,431.33,7747,431.66,2021-07-02T04:00:00Z,860976,432.822701
432.855,434.01,430.01,7621,433.86,2021-07-06T04:00:00Z,820834,432.044584
434.48,434.76,431.52,7371,433.67,2021-07-07T04:00:00Z,881413,433.797078
430.9,431.72,427.57,8772,428.73,2021-07-08T04:00:00Z,1354797,429.89267
435.59,435.79,432.35,10074,432.53,2021-07-09T04:00:00Z,1256371,434.741452
437.12,437.26,435.0,9845,435.42,2021-07-12T04:00:00Z,1109626,436.667239
435.68,437.83,435.32,8970,436.22,2021-07-13T04:00:00Z,1100699,436.418276
436.34,437.91,434.94,6214,437.405,2021-07-14T04:00:00Z,958448,436.469338
434.745,435.52,432.77,8808,434.87,2021-07-15T04:00:00Z,1329473,434.377259
431.37,436.06,430.92,11170,435.99,2021-07-16T04:00:00Z,1661664,433.127495
424.6,426.67,422.0,17353,426.19,2021-07-19T04:00:00Z,2652205,423.634665
431.05,432.41,424.84,16750,425.77,2021-07-20T04:00:00Z,2078731,430.807851
434.49,434.7,432.17,10236,432.34,2021-07-21T04:00:00Z,1226597,433.783358
435.51,435.7,433.695,8336,434.75,2021-07-22T04:00:00Z,973538,434.903192
439.74,440.3,436.84,10194,437.58,2021-07-23T04:00:00Z,1153521,439.231325
440.98,441.03,439.26,7047,439.3,2021-07-26T04:00:00Z,773627,440.299073
438.97,439.82,436.01,9198,439.8,2021-07-27T04:00:00Z,1040709,437.832103
438.82,440.29,437.71,6912,439.67,2021-07-28T04:00:00Z,875428,439.019235
440.66,441.785,439.82,7252,439.82,2021-07-29T04:00:00Z,796963,441.070378
438.48,440.02,437.775,9215,437.91,2021-07-30T04:00:00Z,1095883,438.566836
437.6,440.88,437.305,7400,440.34,2021-08-02T04:00:00Z,1003205,438.827373
441.24,441.24,436.115,7976,438.44,2021-08-03T04:00:00Z,1031118,438.896281
439.01,440.37,438.77,6654,439.76,2021-08-04T04:00:00Z,891423,439.57729
441.72,441.83,439.9,5944,440.27,2021-08-05T04:00:00Z,726445,440.879733
442.52,442.89,441.85,5492,442.11,2021-08-06T04:00:00Z,711250,442.385661
442.19,442.77,441.31,4965,442.46,2021-08-09T04:00:00Z,595961,442.123836
442.67,443.43,441.92,5564,442.63,2021-08-10T04:00:00Z,674913,442.672425
443.76,443.87,442.62,6508,443.75,2021-08-11T04:00:00Z,749406,443.396523
445.08,445.24,442.66,8126,443.61,2021-08-12T04:00:00Z,768709,444.00567
445.91,445.91,445.14,5670,445.61,2021-08-13T04:00:00Z,576662,445.526551
446.99,447.09,442.88,8164,444.54,2021-08-16T04:00:00Z,1014355,444.834251
444.0,444.96,440.94,8298,444.29,2021-08-17T04:00:00Z,1293505,443.007647
439.295,444.6,438.92,6350,442.94,2021-08-18T04:00:00Z,1232736,442.019388
439.96,441.115,436.12,9272,436.27,2021-08-19T04:00:00Z,1395553,439.151671
443.37,443.7,439.745,5930,440.24,2021-08-20T04:00:00Z,900346,442.677823
447.29,448.22,445.17,8032,445.17,2021-08-23T04:00:00Z,960719,447.437806
447.94,448.54,447.44,6905,448.0,2021-08-24T04:00:00Z,774430,448.138798
448.925,449.43,447.79,5174,448.17,2021-08-25T04:00:00Z,666120,448.920009
446.32,448.82,446.16,7332,448.63,2021-08-26T04:00:00Z,1064115,447.243464
450.16,450.64,447.07,7665,447.09,2021-08-27T04:00:00Z,1141610,449.71887
452.22,453.04,450.77,9056,450.99,2021-08-30T04:00:00Z,757959,452.392837
451.61,452.48,450.95,6930,452.13,2021-08-31T04:00:00Z,916029,451.706118
451.715,453.11,451.55,7975,452.61,2021-09-01T04:00:00Z,926673,452.316141
453.22,454.03,451.915,5703,453.33,2021-09-02T04:00:00Z,761510,452.89634
453.05,453.63,451.55,6780,452.01,2021-09-03T04:00:00Z,794266,452.935612
451.5,452.685,450.755,6934,452.685,2021-09-07T04:00:00Z,832398,451.656397
450.93,451.63,448.87,4849,450.88,2021-09-08T04:00:00Z,694091,450.435251
448.95,452.52,448.73,6692,450.78,2021-09-09T04:00:00Z,996739,450.190324
445.53,451.475,445.315,8960,451.12,2021-09-10T04:00:00Z,1381172,447.721671
