date,symbol,underlier,is_spx_family,bias,right,strike,expiry,is_0dte,qty,entry_time,exit_time,hold_min,entry_px,exit_px,pnl,result,status,n_entry_fills
2021-02-12,SBE210319C00040000,SBE,False,bull,C,40.0,2021-03-19,False,1,2021-02-12 12:10:12,2021-02-16 12:38:22,5788.2,4.65,4.0,-65.0,LOSS,closed,1
2021-02-25,ITP210416C00001000,ITP,False,bull,C,1.0,2021-04-16,False,2,2021-02-25 09:47:13,2021-02-25 09:47:13,0.0,0.27,0.27,0.0,LOSS,unclosed,1
2021-02-25,SBUX210305C00106000,SBUX,False,bull,C,106.0,2021-03-05,False,1,2021-02-25 10:19:58,2021-02-25 10:44:09,24.2,1.25,1.3,5.0,WIN,closed,1
2021-02-25,SBE210226C00040000,SBE,False,bull,C,40.0,2021-02-26,False,1,2021-02-25 10:24:47,2021-02-25 11:51:52,87.1,0.9,0.15,-75.0,LOSS,closed,1
2021-02-25,DIS210226C00200000,DIS,False,bull,C,200.0,2021-02-26,False,1,2021-02-25 11:21:09,2021-02-25 11:51:59,30.8,0.81,0.31,-50.0,LOSS,closed,1
2021-03-03,AAL210312C00023000,AAL,False,bull,C,23.0,2021-03-12,False,1,2021-03-03 09:49:52,2021-03-03 10:00:20,10.5,0.56,0.64,8.0,WIN,closed,1
2021-03-15,SOS210820C00015000,SOS,False,bull,C,15.0,2021-08-20,False,3,2021-03-15 11:36:18,2021-07-21 09:34:44,184198.4,2.05,0.01,-612.0,LOSS,closed,2
2021-06-03,RCL210618C00105000,RCL,False,bull,C,105.0,2021-06-18,True,4,2021-06-03 11:00:33,2021-06-18 10:26:10,21565.6,0.72,0.01,-284.0,LOSS,closed,1
2021-06-03,NIO210604C00042500,NIO,False,bull,C,42.5,2021-06-04,False,1,2021-06-03 11:01:40,2021-06-03 11:19:06,17.4,0.54,0.35,-19.0,LOSS,closed,1
2021-06-08,SNAP210618C00063000,SNAP,False,bull,C,63.0,2021-06-18,False,3,2021-06-08 10:53:29,2021-06-09 12:53:08,1559.7,0.88,1.92,312.0,WIN,closed,3
2021-06-08,FCX210618C00043000,FCX,False,bull,C,43.0,2021-06-18,False,3,2021-06-08 11:10:19,2021-06-10 10:46:49,2856.5,0.6,0.29,-93.0,LOSS,closed,1
2021-06-09,CAN210618C00010000,CAN,False,bull,C,10.0,2021-06-18,False,1,2021-06-09 10:01:16,2021-06-09 10:08:52,7.6,0.96,1.4,44.0,WIN,closed,1
