tick_id,fire_at,decision,claimed_spy,claimed_bar_label,last_closed_bar_open,last_closed_close,in_progress_bar_open,in_progress_close_so_far,in_progress_high,in_progress_low,divergence_vs_closed,divergence_dollars,ribbon_cents,bear_score,bull_score,classification,notes
3,09:39:03,(no_decision),,,09:30,735.6400146484375,09:35,734.8900146484375,735.6500244140625,734.27001953125,,,,,,NO_DATA,
6,09:48:02,(no_decision),,,09:40,735.97998046875,09:45,736.0230102539062,737.22998046875,735.9099731445312,,,,,,NO_DATA,
9,09:57:02,HOLD,736.0,09:57,09:50,735.989990234375,09:55,736.1300048828125,736.27001953125,735.6699829101562,0.01,0.01,44,7,4,ALIGNED,spy=736.00 ribbon=44c(BEAR) vix=17.95(flat) bear=7/10 bull=4/11 htf=null | VIX flat blocks bear; ribbon BEAR stacked blocks bull ΓÇö no entr
11,10:03:02,HOLD,735.17,10:10,09:55,736.1300048828125,10:00,735.1699829101562,736.260009765625,735.0399780273438,-0.96,-0.96,40,0,0,MISALIGNED-BENIGN,spy=735.17 ribbon=40c(BULL) vix=17.95(flat) bear=0/10 bull=0/11 htf=BULL | VIX 17.95 blocks strong-BULL gate (need <17.20); ribbon BULL prec
16,10:18:02,(no_decision),,,10:10,735.2999877929688,10:15,737.3200073242188,738.5399780273438,735.211669921875,,,,,,NO_DATA,
18,10:24:02,HOLD,736.29,10:24,10:15,737.3200073242188,10:20,736.8699951171875,738.1599731445312,736.6699829101562,-1.03,-1.03,44,0,0,MISALIGNED-BENIGN,spy=736.29 ribbon=44c(BULL) vix=17.95(flat) bear=0/10 bull=0/11 | vix_gate_blocks_both
21,10:33:03,(no_decision),,,10:25,737.8900146484375,10:30,738.1900024414062,738.97998046875,737.9000244140625,,,,,,NO_DATA,
24,10:42:03,HOLD,738.03,10:40,10:35,737.9400024414062,10:40,738.2999877929688,738.3099975585938,737.6500244140625,0.09,0.09,64,,,MISALIGNED-BENIGN,spy=738.03(+0.17) ribbon=64c(EXPANDED) vol=14.9k | ribbon_compression_cleared_volume_insufficient_primary_blocker_watch_next_bar
26,10:48:02,HOLD,737.95,10:48,10:40,738.2999877929688,10:45,738.010009765625,738.47998046875,737.5999755859375,-0.35,-0.35,22,7,4,MISALIGNED-BENIGN,spy=737.95 ribbon=22c(COMPRESSED) vix=17.64(down) bear=7/10 bull=4/11 htf=null | ribbon_compression_blocks_both_spreads
31,11:03:02,(no_decision),,,10:55,739.2000122070312,11:00,738.8200073242188,739.5,738.760009765625,,,,,,NO_DATA,
36,11:18:03,(no_decision),,,11:10,738.7999877929688,11:15,740.3800048828125,741.8699951171875,738.7999877929688,,,,,,NO_DATA,
41,11:33:02,(no_decision),,,11:25,739.2949829101562,11:30,739.9299926757812,739.9299926757812,739.22998046875,,,,,,NO_DATA,
46,11:48:02,(no_decision),,,11:40,740.3150024414062,11:45,740.7266235351562,740.75,740.1900024414062,,,,,,NO_DATA,
51,12:03:02,(no_decision),,,11:55,740.239990234375,12:00,740.260009765625,740.39501953125,739.8699951171875,,,,,,NO_DATA,
56,12:18:02,(no_decision),,,12:10,740.0800170898438,12:15,739.6799926757812,740.1400146484375,739.52001953125,,,,,,NO_DATA,
61,12:33:02,(no_decision),,,12:25,738.9299926757812,12:30,738.6900024414062,739.3699951171875,738.5800170898438,,,,,,NO_DATA,
66,12:48:02,(no_decision),,,12:40,739.9400024414062,12:45,739.1199951171875,740.010009765625,738.8099975585938,,,,,,NO_DATA,
71,13:03:02,(no_decision),,,12:55,739.364990234375,13:00,739.0999755859375,739.719970703125,739.0,,,,,,NO_DATA,
76,13:18:02,(no_decision),,,13:10,739.6699829101562,13:15,739.72900390625,739.9500122070312,739.530029296875,,,,,,NO_DATA,
81,13:33:02,(no_decision),,,13:25,740.155029296875,13:30,740.0,740.4299926757812,739.7899780273438,,,,,,NO_DATA,
86,13:48:03,HOLD,737.86,13:48,13:40,740.2575073242188,13:45,740.1400146484375,740.3599853515625,739.9199829101562,-2.3975,-2.3975,22,7,5,MISALIGNED-CRITICAL,spy=737.86 ribbon=22c(COMPRESSED) vix=17.64(down) bear=7/10 bull=5/11 htf=null | ribbon_insufficient(22c<30c_min) + volume_blocker(67k<202k_
91,14:03:02,(no_decision),,,13:55,739.8499755859375,14:00,740.1099853515625,740.219970703125,739.2999877929688,,,,,,NO_DATA,
93,14:09:03,(no_decision),,,14:00,740.1099853515625,14:05,740.0700073242188,740.489990234375,739.9600219726562,,,,,,NO_DATA,
96,14:18:03,(no_decision),,,14:10,740.0650024414062,14:15,740.1099853515625,740.3099975585938,740.010009765625,,,,,,NO_DATA,
99,14:27:03,HOLD,739.88,14:27,14:20,739.7249755859375,14:25,740.0800170898438,740.1300048828125,739.6400146484375,0.155,0.155,39,0,4,MISALIGNED-BENIGN,spy=739.88 ribbon=39c(BULL) vix=17.53(falling) bear=0/10 bull=4/11 htf=null | bear ribbon-blocked; bull seller-pressure bar; vix falling blo
101,14:33:02,(no_decision),,,14:25,740.0800170898438,14:30,740.3800048828125,740.4299926757812,740.110595703125,,,,,,NO_DATA,
106,14:48:03,(no_decision),,,14:40,739.780029296875,14:45,740.1099853515625,740.22998046875,739.6799926757812,,,,,,NO_DATA,
108,14:54:02,(no_decision),,,14:45,740.1099853515625,14:50,740.0700073242188,740.27001953125,739.8499755859375,,,,,,NO_DATA,
111,15:03:02,HOLD,740.16,15:03,14:55,740.1649780273438,15:00,740.22998046875,740.739990234375,740.1199951171875,-0.005,-0.005,39,0,4,ALIGNED,spy=740.16 ribbon=39c(BULL) vix=17.53(falling) bear=0/10 bull=4/11 htf=null | entry_window_closed_vix_gates_both
114,15:12:02,HOLD,740.21,15:12,15:05,740.1900024414062,15:10,740.5399780273438,740.5599975585938,740.02001953125,0.02,0.02,39,0,4,ALIGNED,"spy=740.21 ribbon=39c(BULL) vix=17.53Γåô bear=0/10 bull=4/11 | entry_closed_@15:00_cutoff, position_flat, no_setup_developing"
116,15:18:02,(no_decision),,,15:10,740.5399780273438,15:15,740.6900024414062,740.77001953125,740.4000244140625,,,,,,NO_DATA,
121,15:33:02,(no_decision),,,15:25,740.8200073242188,15:30,740.8900146484375,740.97998046875,740.5700073242188,,,,,,NO_DATA,
126,15:48:03,HOLD,740.21,15:48,15:40,741.239990234375,15:45,741.0850219726562,741.4299926757812,740.989990234375,-1.03,-1.03,39,0,4,MISALIGNED-BENIGN,spy=740.21 ribbon=39c(BULL) vix=17.53(down) bear=0/10 bull=4/11 htf=null | entry_window_closed_bull_vix_gate
