tick_id,fire_at,decision,claimed_spy,claimed_bar_label,last_closed_bar_open,last_closed_close,in_progress_bar_open,in_progress_close_so_far,in_progress_high,in_progress_low,divergence_vs_closed,divergence_dollars,csv_lag_minutes,ribbon_cents,bear_score,bull_score,classification,notes
3,09:39:02,(no_decision),,,09:30,745.8900146484375,09:35,744.5800170898438,746.0399780273438,744.3499755859375,,,4.0,,,,NO_DATA,
6,09:48:01,HOLD_DEV,744.89,09:48,09:40,744.030029296875,09:45,745.2000122070312,745.2609252929688,743.8599853515625,0.86,0.86,3.0,70,0,8,MISALIGNED-BENIGN,spy=744.89 ribbon=70c(BULL) vix=17.16(cached) bear=0/10 bull=8/11 htf=null | bull_8_blocked_filter10_htf_needed ribbon_conviction_pass
9,09:57:02,(no_decision),,,09:50,744.6500244140625,09:55,744.75,745.0800170898438,743.9600219726562,,,2.0,,,,NO_DATA,
11,10:03:02,HOLD_DEV,745.04,10:03,09:55,744.75,10:00,744.9299926757812,745.3599853515625,744.4299926757812,0.29,0.29,3.0,22,0,7,MISALIGNED-BENIGN,spy=745.04 ribbon=22c(MIXED) vix=17.16(cached) bear=0/10 bull=7/11 | ribbon_too_narrow
12,10:06:02,(no_decision),,,10:00,744.9299926757812,10:05,745.8099975585938,746.1300048828125,744.6799926757812,,,1.0,,,,NO_DATA,
16,10:18:01,ERROR_TV,,10:18,10:10,744.8599853515625,10:15,746.1599731445312,746.4400024414062,744.25,,,3.0,,,,NO_DATA,chart_symbol_mismatch: ohlcv_returned_vix_bars but_quote_get_symbol_mismatch. tv_state_inconsistent.
21,10:33:02,HOLD,745.23,10:33,10:25,745.3699951171875,10:30,745.8200073242188,745.8400268554688,744.4299926757812,-0.14,-0.14,3.0,10,7,8,MISALIGNED-BENIGN,spy=745.23 ribbon=10c(BULL) vix=17.30(rising) bear=7/10 bull=8/11 htf=null | ribbon_tight_vix_threshold
26,10:48:02,HOLD,747.19,10:48,10:40,746.1400146484375,10:45,747.0900268554688,747.3099975585938,746.1199951171875,1.05,1.05,3.0,32,0,8,MISALIGNED-BENIGN,spy=747.19 ribbon=32c(BULL) vix=16.96(falling) bear=0/10 bull=8/11 htf=null | spread_chop_blocks
31,11:03:02,(no_decision),,,10:55,746.8400268554688,11:00,746.47998046875,746.9500122070312,745.9600219726562,,,3.0,,,,NO_DATA,
33,11:09:02,HOLD_DEV,746.38,11:09,11:00,746.47998046875,11:05,746.3900146484375,746.6699829101562,746.1799926757812,-0.1,-0.1,4.0,56,8,9,MISALIGNED-BENIGN,"spy=746.38 ribbon=56c(BULL) vix=17.16(cached) bear=8/10 bull=9/11 htf=null | bull locked (premium_stop 11:04), bear 1-below (no trigger fire"
36,11:18:02,HOLD_DEV,746.38,11:18,11:10,746.1300048828125,11:15,745.6898193359375,746.3599853515625,745.5700073242188,0.25,0.25,3.0,48,6,9,MISALIGNED-BENIGN,"spy=746.38 ribbon=48c(BULL) vix=17.16(flat) bear=6/10 bull=9/11 | BULL 9/11 blocked first_entry_after_stop (10:53ΓåÆ11:04 stop), ribbon thin"
39,11:27:02,(no_decision),,,11:20,745.5499877929688,11:25,745.3800048828125,746.1300048828125,745.1500244140625,,,2.0,,,,NO_DATA,
41,11:33:02,SKIP_STALE,746.38,11:33,11:25,745.3800048828125,11:30,745.5499877929688,745.8200073242188,745.030029296875,1.0,1.0,3.0,56,8,9,STALE_PAUSED,spy=746.38 ribbon=56c(BULL) vix=17.16(cached) bear=8/10 bull=9/11 | no_new_closed_bars_since_1125
