time_unix,open,high,low,close,volume
1778076000,729.7,729.97,729.35,729.45,59105
1778076300,729.44,729.81,728.71,729.78,80653
1778076600,729.76,730.22,729.74,730.08,110199
1778076900,730.07,730.25,729.57,729.74,88944
1778077200,729.76,730.28,729.7,730.25,48039
1778077500,730.21,730.68,730.01,730.04,75101
1778077800,730.04,730.98,730.02,730.96,47682
1778078100,730.96,731.31,730.93,731.24,90775
1778078400,731.24,731.9,731.24,731.84,99059
1778078700,731.84,732.02,731.5,731.76,65364
1778079000,731.76,731.97,731.67,731.94,44872
1778079300,731.99,732.2,731.92,732.16,64942
1778079600,732.16,732.48,732.07,732.32,75285
1778079900,732.34,732.49,731.79,731.85,74169
1778080200,731.85,732.21,731.391,731.72,74158
1778080500,731.74,732.22,731.55,732.2,56056
1778080800,732.23,732.37,732.15,732.24,47058
1778081100,732.25,732.31,732.02,732.05,55834
1778081400,732.05,732.14,731.8,732.01,105593
1778081700,731.96,732.03,731.45,731.47,41300
1778082000,731.499,731.69,730.94,731.62,68086
1778082300,731.6,731.72,731.15,731.56,35013
1778082600,731.54,731.78,731.38,731.759,26923
1778082900,731.759,731.92,731.61,731.64,38254
1778083200,731.635,731.899,731.48,731.809,48056
1778083500,731.85,731.97,731.57,731.62,24253
1778083800,731.63,731.98,731.59,731.9,39854
1778084100,731.91,731.99,731.81,731.84,43217
1778084400,731.83,731.94,731.77,731.87,14350
1778084700,731.87,732.04,731.745,731.77,18220
1778085000,731.82,731.84,731.67,731.769,10165
1778085300,731.74,731.76,731.49,731.68,9481
1778085600,731.67,732.04,731.49,731.59,79119
1778085900,731.6,731.62,731.18,731.33,41217
1778086200,731.33,731.4,730.85,730.89,44324
1778086500,730.89,731.25,730.54,731,52996
1778086800,730.99,731.25,730.68,731.25,38514
1778087100,731.26,731.61,731.2,731.47,36567
1778087400,731.48,731.74,731.48,731.53,35373
1778087700,731.53,731.66,731.4,731.58,26971
1778088000,731.61,731.81,731.54,731.65,15840
1778088300,731.64,731.74,731.51,731.68,22215
1778088600,731.67,731.89,731.641,731.75,33969
1778088900,731.74,731.9,731.65,731.65,42126
1778089200,731.66,731.89,731.55,731.88,32093
1778089500,731.9,732,731.82,731.87,19558
1778089800,731.88,732.05,731.81,731.98,34991
1778090100,731.97,732.13,731.96,732.13,38598
1778090400,732.14,732.29,732.03,732.2,50506
1778090700,732.209,732.53,732.2,732.5,43688
1778091000,732.51,732.58,732.32,732.499,41474
1778091300,732.52,733.02,732.52,732.889,43372
1778091600,732.88,733.18,732.88,733.069,76211
1778091900,733.06,733.12,732.97,733.04,57011
1778092200,733.04,733.19,732.88,733.18,78811
1778092500,733.21,733.459,733.1,733.2,46673
1778092800,733.2,733.2,733.03,733.03,34325
1778093100,733.03,733.16,732.77,732.87,34340
1778093400,732.86,733.11,732.72,733.04,49624
1778093700,733.07,733.12,732.96,732.97,64576
1778094000,732.97,733.48,732.94,733.33,116584
1778094300,733.32,733.73,733.26,733.53,128802
1778094600,733.52,733.8,733.52,733.76,62429
1778094900,733.77,733.84,733.59,733.78,100598
1778095200,733.78,733.99,733.72,733.87,113619
1778095500,733.87,733.96,733.64,733.87,64303
1778095800,733.84,733.84,733.55,733.62,97623
1778096100,733.62,733.99,733.6,733.97,60585
1778096400,733.96,734,733.675,733.675,90602
1778096700,733.67,733.98,733.59,733.69,216409
1778097000,733.7,734.57,733.65,734.45,288303
1778097300,734.47,734.6,733.77,733.77,633178
1778097600,733.79,734.06,733.55,733.9,132588
1778097900,734,734.19,733.889,733.97,39836
1778098200,733.91,734.55,733.62,734.44,54419
1778098500,734.5,734.5,734.2,734.2,53310
1778098800,734.27,734.37,734.05,734.099,1362
1778099100,734.18,734.4,734.11,734.29,42201
1778099400,734.25,734.26,733.82,733.82,8580
1778099700,733.85,733.92,733.771,733.771,1224
1778100000,733.78,733.87,733.77,733.77,1583
1778100300,733.78,733.81,733.58,733.67,978
1778100600,733.61,733.61,733.51,733.6,3369
1778100900,733.579,733.75,733.53,733.75,4672
1778101200,733.63,733.88,733.57,733.77,353
1778101500,733.82,733.85,733.73,733.8,650
1778101800,733.78,733.78,733.74,733.75,30
1778102100,733.7,733.72,733.69,733.72,481
1778102400,733.71,733.739,733.65,733.67,701
1778102700,733.67,733.7,733.45,733.45,3174
1778103000,733.48,733.58,733.26,733.31,620
1778103300,733.31,733.36,733.2,733.2,1363
1778103600,733.25,733.25,733.05,733.08,157
1778103900,733.08,733.46,733.05,733.11,289
1778104200,733.15,733.17,732.99,732.99,2168
1778104500,733.21,733.21,733,733.12,1620
1778104800,733.07,733.39,732.98,733.14,7646
1778105100,733.04,733.11,732.92,733.1,1294
1778105400,733.09,733.09,733.09,733.09,7
1778105700,733.05,733.17,733.05,733.17,480
1778106000,733.26,733.26,732.92,732.981,2440
1778106300,732.99,733.01,732.75,732.75,893
1778106600,732.761,732.94,732.75,732.94,672
1778106900,732.95,732.95,732.84,732.84,334
1778107200,732.899,732.96,732.89,732.92,436
1778107500,732.93,732.97,732.93,732.969,89
1778107800,732.96,732.97,732.91,732.91,58
1778108100,732.87,732.88,732.86,732.86,575
1778108400,732.81,732.99,732.81,732.9,866
1778108700,732.93,732.95,732.86,732.95,933
1778109000,733,733.15,733,733.02,463
1778109300,733,733.149,733,733.149,452
1778109600,733.17,733.17,733.16,733.17,110
1778109900,732.99,732.99,732.93,732.95,530
1778110200,733,733,732.84,732.95,325
1778110500,732.91,732.95,732.91,732.95,144
1778110800,732.981,733.02,732.94,733.02,651
1778111100,733.14,733.24,732.89,732.89,582
1778111400,732.91,733.07,732.83,733.07,1018
1778111700,732.99,733.12,732.99,733,523
