t,o,h,l,c,v
2026-07-06T13:30:00Z,748.22,749.425,748.15,749.21,40706
2026-07-06T13:35:00Z,749.07,749.07,747.455,748.29,30224
2026-07-06T13:40:00Z,748.27,748.64,747.74,748.64,31221
2026-07-06T13:45:00Z,748.61,749.095,748.315,748.94,27570
2026-07-06T13:50:00Z,748.965,749.53,748.27,748.9,30036
2026-07-06T13:55:00Z,748.67,748.93,748.33,748.42,15030
2026-07-06T14:00:00Z,748.54,749,748.05,748.38,10195
2026-07-06T14:05:00Z,748.34,749.01,748.06,748.87,10254
2026-07-06T14:10:00Z,748.645,749.45,748.61,749.43,22895
2026-07-06T14:15:00Z,749.41,749.48,748.97,749.19,15134
2026-07-06T14:20:00Z,749.36,749.76,749.05,749.65,16057
2026-07-06T14:25:00Z,749.75,749.96,749.56,749.94,13644
2026-07-06T14:30:00Z,749.955,750.14,749.63,749.7,16540
2026-07-06T14:35:00Z,749.69,749.86,749.475,749.635,19365
2026-07-06T14:40:00Z,749.65,749.75,749.1,749.65,12025
2026-07-06T14:45:00Z,749.65,749.86,749.56,749.745,9745
2026-07-06T14:50:00Z,749.8,750.04,749.61,749.88,13340
2026-07-06T14:55:00Z,749.905,750.27,749.7,750.27,15291
2026-07-06T15:00:00Z,750.29,750.41,750,750.18,10077
2026-07-06T15:05:00Z,750.18,750.26,750,750.195,12516
2026-07-06T15:10:00Z,750.27,750.4,749.82,750.09,28391
2026-07-06T15:15:00Z,750.05,750.05,749.63,750,11125
2026-07-06T15:20:00Z,750.03,750.2,749.77,750.2,11072
2026-07-06T15:25:00Z,750.32,750.79,750.23,750.75,18264
2026-07-06T15:30:00Z,750.64,750.945,750.62,750.62,10125
2026-07-06T15:35:00Z,750.6,750.7,750.41,750.595,6630
2026-07-06T15:40:00Z,750.63,750.84,750.6,750.77,5697
2026-07-06T15:45:00Z,750.9,750.93,750.66,750.88,11122
2026-07-06T15:50:00Z,750.86,750.95,750.61,750.675,8245
2026-07-06T15:55:00Z,750.64,750.94,750.64,750.82,14538
2026-07-06T16:00:00Z,750.79,750.795,750.66,750.79,8449
2026-07-06T16:05:00Z,750.76,751.03,750.73,750.95,9546
2026-07-06T16:10:00Z,751.01,751.1,750.91,751.06,7607
2026-07-06T16:15:00Z,750.985,751.07,750.86,750.97,13879
2026-07-06T16:20:00Z,750.995,751.12,750.82,750.9,11315
2026-07-06T16:25:00Z,750.86,750.9,750.55,750.65,15846
2026-07-06T16:30:00Z,750.58,750.74,750.495,750.64,14308
2026-07-06T16:35:00Z,750.64,750.65,750.42,750.61,13074
2026-07-06T16:40:00Z,750.58,750.75,750.58,750.72,9958
2026-07-06T16:45:00Z,750.72,751.03,750.57,751.01,11097
2026-07-06T16:50:00Z,751.04,751.06,750.61,750.61,11695
2026-07-06T16:55:00Z,750.625,750.715,750.4,750.42,11502
2026-07-06T17:00:00Z,750.425,750.97,750.425,750.88,12867
2026-07-06T17:05:00Z,750.88,751.52,750.88,751.39,17629
2026-07-06T17:10:00Z,751.38,751.465,751.19,751.24,18108
2026-07-06T17:15:00Z,751.35,751.42,751,751.085,8205
2026-07-06T17:20:00Z,751.08,751.12,750.82,751,10768
2026-07-06T17:25:00Z,750.99,751.09,750.61,750.7,10150
2026-07-06T17:30:00Z,750.68,750.73,750.27,750.35,19503
2026-07-06T17:35:00Z,750.335,750.51,750.2,750.35,15081
2026-07-06T17:40:00Z,750.26,750.29,749.64,750.085,27141
2026-07-06T17:45:00Z,750.05,750.405,749.86,750.27,10102
2026-07-06T17:50:00Z,750.29,750.52,750.09,750.09,8595
2026-07-06T17:55:00Z,750.09,750.14,749.95,750.095,7482
2026-07-06T18:00:00Z,750.185,750.76,750.18,750.695,21828
2026-07-06T18:05:00Z,750.68,751.11,750.635,750.98,23220
2026-07-06T18:10:00Z,750.99,751.05,750.83,751.03,11391
2026-07-06T18:15:00Z,751.02,751.5,751.02,751.345,19242
2026-07-06T18:20:00Z,751.37,751.49,751.25,751.48,16625
2026-07-06T18:25:00Z,751.48,751.59,751.28,751.34,14590
2026-07-06T18:30:00Z,751.34,751.51,751.12,751.13,13703
2026-07-06T18:35:00Z,751.09,751.29,751.01,751.035,10441
2026-07-06T18:40:00Z,751.09,751.35,751.09,751.235,12134
2026-07-06T18:45:00Z,751.29,751.655,751.21,751.585,14408
2026-07-06T18:50:00Z,751.585,751.79,751.53,751.79,10830
2026-07-06T18:55:00Z,751.82,752.01,751.69,751.915,9255
2026-07-06T19:00:00Z,751.945,752.12,751.705,751.86,12078
2026-07-06T19:05:00Z,751.89,751.96,751.69,751.77,10005
2026-07-06T19:10:00Z,751.78,751.925,751.695,751.82,13490
2026-07-06T19:15:00Z,751.805,752.14,751.67,752.13,18793
2026-07-06T19:20:00Z,752.11,752.4,752.035,752.305,25698
2026-07-06T19:25:00Z,752.305,752.35,752.12,752.26,22367
2026-07-06T19:30:00Z,752.26,752.29,751.94,751.97,25109
2026-07-06T19:35:00Z,752.125,752.13,751.76,751.96,35113
2026-07-06T19:40:00Z,751.96,752.035,751.78,752.035,12595
2026-07-06T19:45:00Z,752.03,752.22,751.88,751.94,36674
