date,session_phase,instrument,contract_month,time_entry_et,time_exit_et,hold_minutes,setup,watcher,confidence,direction,side,qty,entry_px,exit_px,stop_px,tp1_px,runner_px,stop_points,point_value,risk_usd,dollar_pnl,r_multiple,exit_reason,equity_pre,equity_post,fills,backend,followed_rules,rails_checked,notes
2026-08-10,RTH,MES,,2026-08-10T09:50:02,2026-08-10T10:10:02,20.0,OPEN_REJECTION,shotgun_scalper_watcher,high,short,SELL,1,7772.75,7780.8,7780.8,7771.25,,8.05,5.0,40.25,-41.49,-1.031,FULL_STOP,,1958.509999999999,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,backfilled 2026-08-23 from decisions.jsonl -- lost to trades.csv schema-mismatch rotation (see test_futures_journal_schema_guard.py)
2026-08-10,RTH,MES,,2026-08-10T13:05:03,2026-08-10T13:55:03,50.0,ERL_IRL_SWEEP_FVG,erl_irl_watcher,medium,short,SELL,1,7772.5,7772.0,7785.85,7772.0,7771.5,13.35,5.0,66.75,1.26,0.019,TP1_PARTIAL,,1959.769999999999,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,backfilled 2026-08-23 from decisions.jsonl -- lost to trades.csv schema-mismatch rotation (see test_futures_journal_schema_guard.py)
2026-08-10,RTH,MES,,2026-08-10T14:05:03,2026-08-10T14:30:03,25.0,ERL_IRL_SWEEP_FVG,erl_irl_watcher,medium,short,SELL,1,7773.0,7771.5,7779.1,7771.5,7765.5,6.1,5.0,30.5,6.26,0.205,TP1_PARTIAL,,1966.029999999999,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,backfilled 2026-08-23 from decisions.jsonl -- lost to trades.csv schema-mismatch rotation (see test_futures_journal_schema_guard.py)
2026-08-11,RTH,MES,,2026-08-11T10:10:02,2026-08-11T11:20:03,70.0,,,,short,SELL,1,7774.5,7774.0,7792.6,7774.0,7773.0,18.1,5.0,90.5,1.26,0.014,TP1_PARTIAL,,1967.289999999999,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,
2026-08-11,RTH,MES,,2026-08-11T12:00:02,2026-08-11T12:05:03,5.0,,,,short,SELL,1,7766.75,7766.0,7772.1,7766.0,7765.5,5.35,5.0,26.75,2.51,0.094,TP1_PARTIAL,,1969.799999999999,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,
2026-08-12,RTH,MES,,2026-08-12T12:35:03,2026-08-12T12:40:03,5.0,,,,short,SELL,1,7771.25,7771.0,7774.85,7771.0,7769.75,3.6,5.0,18.0,0.01,0.001,TP1_PARTIAL,,1969.809999999999,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,
2026-08-12,RTH,MES,,2026-08-12T13:45:03,2026-08-12T13:50:03,5.0,,,,short,SELL,1,7772.25,7772.0,7775.6,7772.0,7769.75,3.35,5.0,16.75,0.01,0.001,TP1_PARTIAL,,1969.819999999999,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,
2026-08-13,RTH,MES,,2026-08-13T12:00:02,2026-08-13T13:20:02,80.0,,,,short,SELL,1,7803.0,7816.75,7816.6,7796.25,7794.0,13.6,5.0,68.0,-69.99,-1.029,FULL_STOP,,1899.829999999999,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,
2026-08-31,RTH,MES,,2026-08-31T09:50:01,2026-08-31T09:55:01,5.0,,,,short,SELL,1,7688.75,7685.5,7704.05,7685.5,,15.3,5.0,76.5,15.01,0.196,TP1_PARTIAL,,1914.839999999999,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,
2026-08-31,RTH,MES,,2026-08-31T15:05:01,2026-08-31T15:40:01,35.0,,,,short,SELL,1,7682.0,7694.3,7694.3,7678.0,,12.3,5.0,61.5,-62.74,-1.02,FULL_STOP,,1852.099999999998,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,
2026-09-01,RTH,MES,,2026-09-01T09:35:01,2026-09-01T09:40:01,5.0,,,,long,BUY,1,7697.75,7646.75,7693.75,7701.25,,4.0,5.0,20.0,-256.24,-12.812,FULL_STOP,,1595.859999999998,SIMULATED,FillSimBroker,Y,entry gated by FuturesRiskRails.check_entry,
2026-08-31,,MES,,2026-08-31T09:45:01,2026-08-31T13:46:44.541000+00:00,1.7,OPEN_REJECTION,shotgun_scalper_watcher,high,short,SELL,1.0,7688.75,7685.5,7704.05,7685.5,,15.3,5.0,76.5,16.25,0.212,TP1_FULL,,,BROKER,TastytradeBroker,Y,entry gated by FuturesRiskRails.check_entry,"broker_order_ids=entry:[1428293, 1428296],exit:1428296 fill_id=204 backfilled_2026_09_03"
2026-08-31,,MES,,2026-08-31T15:00:01,2026-08-31T20:00:07.753000+00:00,60.1,LEVEL_REJECT_LIVE,shotgun_scalper_watcher,high,short,SELL,1.0,7685.75,7699.25,7694.3,7678.0,,8.55,5.0,42.75,-67.5,-1.579,BROKER_CLOSE,,,BROKER,TastytradeBroker,Y,entry gated by FuturesRiskRails.check_entry,"broker_order_ids=entry:[1429073, 1429074],exit:1429210 fill_id=344 signal_entry_px=7682.0 backfilled_2026_09_03"
2026-09-02,,MES,,2026-09-02T11:15:01,2026-09-02T15:28:07.095000+00:00,13.1,ERL_IRL_SWEEP_FVG,erl_irl_watcher,medium,short,SELL,1.0,7681.5,7690.0,7690.0,7680.0,7673.0,8.5,5.0,42.5,-42.5,-1.0,FULL_STOP,,,BROKER,TastytradeBroker,Y,entry gated by FuturesRiskRails.check_entry,"broker_order_ids=entry:[1435171, 1435172, 1435173],exit:1435173 fill_id=495 signal_entry_px=7680.5 backfilled_2026_09_03"
