date,time_entry,time_exit,setup,contract,dte,strike,c_or_p,qty,entry_px,exit_px,premium_paid,premium_received,dollar_pnl,r_multiple,stop_px,target_px,dollar_risk,pct_risk_of_acct,account_equity_pre,followed_rules,setup_quality,fill_quality,gamma_recommended,j_override,hold_minutes,trade_grade,trade_grade_score,delta_at_entry,iv_at_entry,iv_regime,slippage_cents,exit_slippage_cents,tod_bucket,bars_after_trigger,entry_relative_to_bar,hold_quality_pct,cf_time_stop_pnl,cf_high_water_pnl,archetype_match_json,tape_assistance,notes_short,account_id
2023-06-01,10:31:35,10:47:23,RIDE_THE_RIBBON,SPXW 2023-06-01 4200.0C,0,4200.0,C,1,2.25,7.5,225,750,525,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",225,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,16,WIN,,OTM(~-20pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""pullback-continuation"",""archetype_fine"":""bullish_pullback_resumption"",""trigger"":""pullback"",""vwap_side"":""above"",""new_session_extreme"":false,""prior_trend_30m_pct"":0.19,""level"":{""level_name"":""ROUND"",""level_px"":418,""dist_pct"":0.012},""playbook_setup"":""RIDE_THE_RIBBON"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2023-06-01). 1-2_lot. Archetype=pullback-continuation (bullish_pullback_resumption); trigger=pullback; VWAP above; prior-30m 0.19%; new_extreme=False; nearest level ROUND@418 (0.012% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-03-14,11:20:26,11:43:42,BEARISH_REJECTION,SPXW 2022-03-14 4195.0P,0,4195.0,P,1,4.9,9.9,490,990,500,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",490,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,23,WIN,,OTM(~-30pt),,,,,MIDDAY,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""reversal-off-extreme"",""archetype_fine"":""bearish_reversal_off_high"",""trigger"":""rejection"",""vwap_side"":""above"",""new_session_extreme"":false,""prior_trend_30m_pct"":-0.09,""level"":{""level_name"":""ROUND"",""level_px"":422,""dist_pct"":0.116},""playbook_setup"":""BEARISH_REJECTION"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-03-14). 1-2_lot. Archetype=reversal-off-extreme (bearish_reversal_off_high); trigger=rejection; VWAP above; prior-30m -0.09%; new_extreme=False; nearest level ROUND@422 (0.116% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-05-02,10:25:28,10:31:49,MOMENTUM_BREAKOUT,SPXW 2022-05-02 4200.0C,0,4200.0,C,1,4.1,8.7,410,870,460,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",410,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,6,WIN,,OTM(~-57pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""momentum-breakout"",""archetype_fine"":""momentum_breakout_continuation"",""trigger"":""breakout"",""vwap_side"":""above"",""new_session_extreme"":true,""prior_trend_30m_pct"":0.45,""level"":{""level_name"":""ROUND"",""level_px"":414,""dist_pct"":0.077},""playbook_setup"":""MOMENTUM_BREAKOUT"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-05-02). 1-2_lot. Archetype=momentum-breakout (momentum_breakout_continuation); trigger=breakout; VWAP above; prior-30m 0.45%; new_extreme=True; nearest level ROUND@414 (0.077% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2023-06-02,10:10:59,11:02:54,RIDE_THE_RIBBON,SPXW 2023-06-02 4280.0C,0,4280.0,C,1,2,6.5,200,650,450,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",200,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,52,WIN,,OTM(~-24pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""trend-continuation"",""archetype_fine"":""trend_continuation_midrange"",""trigger"":""reclaim"",""vwap_side"":""above"",""new_session_extreme"":false,""prior_trend_30m_pct"":-0.04,""level"":{""level_name"":""ROUND"",""level_px"":426,""dist_pct"":-0.081},""playbook_setup"":""RIDE_THE_RIBBON"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2023-06-02). 1-2_lot. Archetype=trend-continuation (trend_continuation_midrange); trigger=reclaim; VWAP above; prior-30m -0.04%; new_extreme=False; nearest level ROUND@426 (-0.081% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-06-06,11:11:12,11:18:03,RIDE_THE_RIBBON,SPXW 2022-06-06 4115.0P,0,4115.0,P,1,2.55,7,255,700,445,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",255,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,7,WIN,,OTM(~-29pt),,,,,MIDDAY,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""pullback-continuation"",""archetype_fine"":""bearish_pullback_resumption"",""trigger"":""pullback"",""vwap_side"":""below"",""new_session_extreme"":false,""prior_trend_30m_pct"":-0.41,""level"":{""level_name"":""SESSION_OPEN"",""level_px"":414.8,""dist_pct"":-0.089},""playbook_setup"":""RIDE_THE_RIBBON"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-06-06). 1-2_lot. Archetype=pullback-continuation (bearish_pullback_resumption); trigger=pullback; VWAP below; prior-30m -0.41%; new_extreme=False; nearest level SESSION_OPEN@414.8 (-0.089% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-07-22,13:18:51,13:35:50,MOMENTUM_BREAKOUT,SPXW 2022-07-22 3940.0P,0,3940.0,P,1,3.2,7.2,320,720,400,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",320,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,17,WIN,,OTM(~-19pt),,,,,MIDDAY,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""momentum-breakout"",""archetype_fine"":""momentum_breakout_continuation"",""trigger"":""breakout"",""vwap_side"":""below"",""new_session_extreme"":true,""prior_trend_30m_pct"":-0.43,""level"":{""level_name"":""ROUND"",""level_px"":396,""dist_pct"":-0.028},""playbook_setup"":""MOMENTUM_BREAKOUT"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-07-22). 1-2_lot. Archetype=momentum-breakout (momentum_breakout_continuation); trigger=breakout; VWAP below; prior-30m -0.43%; new_extreme=True; nearest level ROUND@396 (-0.028% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-05-12,11:16:15,11:54:19,BEARISH_REJECTION,SPXW 2022-05-13 3810.0P,1,3810.0,P,1,4.2,8.1,420,810,390,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",420,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,38,WIN,,OTM(~-129pt),,,,,MIDDAY,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""reversal-off-extreme"",""archetype_fine"":""bearish_reversal_off_high"",""trigger"":""rejection"",""vwap_side"":""above"",""new_session_extreme"":false,""prior_trend_30m_pct"":0.67,""level"":{""level_name"":""ROUND"",""level_px"":394,""dist_pct"":-0.03},""playbook_setup"":""BEARISH_REJECTION"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-05-12). 1-2_lot. Archetype=reversal-off-extreme (bearish_reversal_off_high); trigger=rejection; VWAP above; prior-30m 0.67%; new_extreme=False; nearest level ROUND@394 (-0.03% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-07-27,14:21:54,14:35:54,RIDE_THE_RIBBON,SPXW 2022-07-27 4030.0C,0,4030.0,C,2,2.35,4.3,470,860,390,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",470,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,14,WIN,,OTM(~-70pt),,,,,AFTERNOON,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""trend-continuation"",""archetype_fine"":""trend_continuation_midrange"",""trigger"":""reclaim"",""vwap_side"":""above"",""new_session_extreme"":false,""prior_trend_30m_pct"":0.13,""level"":{""level_name"":""ROUND"",""level_px"":396,""dist_pct"":0.013},""playbook_setup"":""RIDE_THE_RIBBON"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-07-27). 1-2_lot. Archetype=trend-continuation (trend_continuation_midrange); trigger=reclaim; VWAP above; prior-30m 0.13%; new_extreme=False; nearest level ROUND@396 (0.013% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2023-05-30,10:57:42,11:21:25,RIDE_THE_RIBBON,SPXW 2023-05-30 4200.0P,0,4200.0,P,1,3.5,7.4,350,740,390,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",350,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,24,WIN,,OTM(~-7pt),,,,,MORNING,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""trend-continuation"",""archetype_fine"":""trend_continuation_midrange"",""trigger"":""rejection"",""vwap_side"":""below"",""new_session_extreme"":false,""prior_trend_30m_pct"":-0.1,""level"":{""level_name"":""ROUND"",""level_px"":421,""dist_pct"":-0.076},""playbook_setup"":""RIDE_THE_RIBBON"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2023-05-30). 1-2_lot. Archetype=trend-continuation (trend_continuation_midrange); trigger=rejection; VWAP below; prior-30m -0.1%; new_extreme=False; nearest level ROUND@421 (-0.076% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
2022-06-03,11:26:37,13:04:50,BEARISH_REJECTION,SPXW 2022-06-03 4150.0C,0,4150.0,C,1,2.4,6.1,240,610,370,N/A,"unknown (real fill, no recorded stop)","unknown (real fill, no recorded target)",240,N/A (pre-Gamma account),N/A,N/A,GROUND_TRUTH,real_fill,N/A,N/A,98,WIN,,OTM(~-50pt),,,,,MIDDAY,0,at_close,,,,"{""size_class"":""1-2_lot"",""archetype"":""reversal-off-extreme"",""archetype_fine"":""bullish_reversal_off_low"",""trigger"":""reclaim"",""vwap_side"":""below"",""new_session_extreme"":false,""prior_trend_30m_pct"":-0.3,""level"":{""level_name"":""ROUND"",""level_px"":410,""dist_pct"":0.007},""playbook_setup"":""BEARISH_REJECTION"",""context"":""reconstructed""}",,"HISTORICAL GROUND TRUTH (J real Webull fill, SPXW 2022-06-03). 1-2_lot. Archetype=reversal-off-extreme (bullish_reversal_off_low); trigger=reclaim; VWAP below; prior-30m -0.3%; new_extreme=False; nearest level ROUND@410 (0.007% away). SPY-proxy 5m setup (SPX/SPY ~10:1).",j_webull_hist
